1 ¦			2 ¦			3 ¦			1 - (_6,5мм)			2 -			3 -			1 ? (_9,5мм)			2 ?			3 ?			1 ¦ (+16мм)			изгиб 1 (—мм)		
Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход
сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм
1	0,05245209	0,04993333	1	0,004768372	0,0499	1	0,02304713	0,04993333	1	0,06596247	0,04993333	1	0,09536743	0,04986667	1	0,6922086	0,04993333	1	-0,003973643	0,04993333	1	-0,0222524	0,04993333	1	0,01192093	0,0499	1	0,002384186	0,04986667	1	0,01430511	0,04986667
1,1	0,04132589	0,0549	1,1	0,02543131	0,05483333	1,1	0,02304713	0,05483333	1,1	0,342528	0,05483333	1,1	0,1939138	0,05483333	1,1	1,515547	0,05483333	1,1	0,009536743	0,05483333	1,1	0,009536743	0,05483333	1,1	-0,0007947286	0,05483333	1,1	0,009536743	0,0548	1,1	0,03019969	0,05483333
1,2	0,04132589	0,0599	1,2	0,007152557	0,0599	1,2	0,01351039	0,0599	1,2	2,000332	0,05986667	1,2	0,3290176	0,0599	1,2	4,600684	0,05986667	1,2	0,0007947286	0,0599	1,2	-0,0007947286	0,05986667	1,2	0,03417333	0,05986667	1,2	-0,0055631	0,05986667	1,2	0,0278155	0,05986667
1,3	0,06755193	0,0649	1,3	0,0055631	0,06493334	1,3	0,02304713	0,06486667	1,3	7,967949	0,06486667	1,3	0,5547206	0,0649	1,3	10,82023	0,06483334	1,3	0,0055631	0,06486667	1,3	0,01907349	0,0649	1,3	0,009536743	0,0649	1,3	0,004768372	0,06483334	1,3	0,03496806	0,06483334
1,4	0,09536743	0,0699	1,4	0,01033147	0,06983333	1,4	0,02702077	0,06986666	1,4	17,42443	0,06986666	1,4	0,8185704	0,06986666	1,4	19,00752	0,06983333	1,4	0,01827876	0,06986666	1,4	0,0007947286	0,0699	1,4	0,02543131	0,0699	1,4	0,01351039	0,06983333	1,4	0,0278155	0,0698
1,5	0,1955032	0,0749	1,5	0,0055631	0,07486667	1,5	0,02940496	0,0749	1,5	28,32174	0,07483333	1,5	1,12613	0,07486667	1,5	28,23273	0,07483333	1,5	-0,008742015	0,07486667	1,5	0,007947286	0,0749	1,5	0,02384186	0,07486667	1,5	0,004768372	0,07486667	1,5	0,02940496	0,0748
1,6	0,3012021	0,07986667	1,6	0,003178914	0,07983334	1,6	0,02702077	0,07983334	1,6	40,22757	0,07986667	1,6	1,680056	0,07986667	1,6	38,8066	0,07986667	1,6	0,0055631	0,07986667	1,6	0,007947286	0,07986667	1,6	0,01033147	0,07983334	1,6	-0,0007947286	0,0798	1,6	0,003178914	0,07986667
1,7	0,5078316	0,0849	1,7	0,02304713	0,08483333	1,7	-0,003973643	0,08483333	1,7	52,53712	0,08483333	1,7	1,880328	0,08483333	1,7	49,94313	0,08483333	1,7	0,01192093	0,08483333	1,7	0,01589457	0,08483333	1,7	0,01192093	0,08486667	1,7	0,007152557	0,0848	1,7	0,007947286	0,08483333
1,8	1,017253	0,0899	1,8	0,0166893	0,08986667	1,8	-0,01271566	0,08986667	1,8	65,42524	0,08983333	1,8	2,582073	0,08986667	1,8	61,67014	0,08986667	1,8	-0,0055631	0,08986667	1,8	0,009536743	0,0899	1,8	0,009536743	0,08983333	1,8	-0,003178914	0,08983333	1,8	0,009536743	0,08986667
1,9	1,556079	0,0949	1,9	0,0278155	0,09486667	1,9	0,002384186	0,09486667	1,9	78,94754	0,09483334	1,9	5,096594	0,09483334	1,9	74,03692	0,09486667	1,9	-0,0111262	0,09483334	1,9	-0,01430511	0,09483334	1,9	0,01033147	0,09483334	1,9	0,007947286	0,09483334	1,9	0,03258387	0,09493333
2	2,141793	0,09986667	2	0,02145767	0,0998	2	0,01430511	0,0998	2	92,7186	0,0998	2	11,64516	0,09983333	2	86,57853	0,09983333	2	0,007152557	0,0998	2	0,002384186	0,09983333	2	0,01430511	0,0998	2	-0,006357829	0,09976666	2	0,02940496	0,09986667
2,1	2,746582	0,1049	2,1	0,007947286	0,1048667	2,1	0,01033147	0,1049	2,1	106,6224	0,1049	2,1	20,31803	0,1049	2,1	99,58744	0,1048667	2,1	0,004768372	0,1048667	2,1	0,003178914	0,1049	2,1	0,01192093	0,1049333	2,1	0,02304713	0,1048667	2,1	0,007947286	0,1048667
2,2	4,064242	0,1099	2,2	0,01192093	0,1098333	2,2	0,01907349	0,1098667	2,2	121,1039	0,1098667	2,2	30,55573	0,1098667	2,2	113,0406	0,1098667	2,2	0,0007947286	0,1099	2,2	0,003178914	0,1098	2,2	0,02940496	0,1098333	2,2	0,02304713	0,1098667	2,2	0,01907349	0,1098333
2,3	6,182989	0,1148667	2,3	0,009536743	0,1148333	2,3	0,0007947286	0,1148667	2,3	135,6236	0,1148	2,3	42,0316	0,1148333	2,3	126,636	0,1148	2,3	-0,001589457	0,1148667	2,3	-0,0007947286	0,1148667	2,3	0,01907349	0,1148667	2,3	0,009536743	0,1148333	2,3	0,03417333	0,1148333
2,4	9,822051	0,1199	2,4	0,007947286	0,1199	2,4	0,02066294	0,1199	2,4	150,4588	0,1199	2,4	54,77508	0,1199	2,4	140,3713	0,1198667	2,4	-0,001589457	0,1198667	2,4	0,007152557	0,1199	2,4	0,0166893	0,1199	2,4	-0,0007947286	0,1198333	2,4	0,02384186	0,1198667
2,5	15,73801	0,1248667	2,5	0,01351039	0,1248333	2,5	0,009536743	0,1248667	2,5	165,6286	0,1248333	2,5	68,35779	0,1248667	2,5	154,2473	0,1248333	2,5	-0,001589457	0,1248667	2,5	0,009536743	0,1248333	2,5	0,0166893	0,1248667	2,5	-0,008742015	0,1248	2,5	0,003178914	0,1248
