1 ¦			2 ¦			3 ¦			1 - (_6,5мм)			2 -			3 -			1 ? (_9,5мм)			2 ?			3 ?			1 ¦ (+16мм)			изгиб 1 (—мм)		
Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход
сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм
7,1	91,0608	0,3549334	7,1	-0,0007947286	0,3549	7,1	0,0007947286	0,3549	7,1	1164,935	0,3549	7,1	1050,412	0,3549334	7,1	1159,198	0,3549334	7,1	541,0656	0,3549	7,1	521,6654	0,3549	7,1	510,0608	0,3548667	7,1	-0,003973643	0,3548667	7,1	90,95589	0,3549
7,2	90,76039	0,3598333	7,2	-0,001589457	0,3598333	7,2	-0,01509984	0,3598333	7,2	1190,553	0,3598333	7,2	1076,624	0,3598	7,2	1185,203	0,3598333	7,2	572,2531	0,3598	7,2	552,8085	0,3598333	7,2	541,0608	0,3598667	7,2	-0,01986822	0,3598	7,2	91,40015	0,3598333
7,3	90,69522	0,3648667	7,3	-0,003973643	0,3648333	7,3	0,0007947286	0,3648333	7,3	1216,025	0,3648667	7,3	1102,481	0,3648667	7,3	1211,421	0,3648333	7,3	603,7132	0,3648333	7,3	583,7997	0,3648	7,3	571,8494	0,3648667	7,3	-0,0222524	0,3648333	7,3	90,9996	0,3648333
7,4	90,85655	0,3699	7,4	-0,006357829	0,3698667	7,4	-0,0055631	0,3698667	7,4	1242,099	0,3698667	7,4	1128,765	0,3699	7,4	1237,915	0,3699	7,4	635,5365	0,3699	7,4	615,7573	0,3698667	7,4	603,71	0,3698334	7,4	-0,006357829	0,3698667	7,4	91,05603	0,3698334
7,5	92,16388	0,3748333	7,5	0,01907349	0,3748333	7,5	-0,01430511	0,3748333	7,5	1267,656	0,3748	7,5	1154,857	0,3748	7,5	1264,156	0,3748	7,5	667,3145	0,3748	7,5	646,828	0,3748	7,5	635,0843	0,3748333	7,5	-0,02384186	0,3748	7,5	91,21736	0,3748
7,6	92,27355	0,3798333	7,6	0,02384186	0,3798667	7,6	0,0055631	0,3798333	7,6	1293,662	0,3798333	7,6	1181,439	0,3798	7,6	1290,881	0,3798333	7,6	699,3111	0,3798333	7,6	678,4272	0,3798667	7,6	666,5286	0,3798667	7,6	-0,01271566	0,3798333	7,6	90,64277	0,3798
7,7	90,53866	0,3849334	7,7	0,003178914	0,3849	7,7	0,01351039	0,3848667	7,7	1320,3	0,3848667	7,7	1208,529	0,3849	7,7	1318,353	0,3848667	7,7	732,3193	0,3848667	7,7	711,3107	0,3848667	7,7	699,0393	0,3848667	7,7	-0,02384186	0,3848667	7,7	88,89834	0,3848667
7,8	89,31001	0,3899	7,8	0,0166893	0,3898333	7,8	-0,0111262	0,3898333	7,8	1346,094	0,3898333	7,8	1234,931	0,3898333	7,8	1344,798	0,3898333	7,8	763,6785	0,3898	7,8	742,9274	0,3898333	7,8	730,4422	0,3898	7,8	0,003178914	0,3898333	7,8	86,52131	0,3898667
7,9	89,08828	0,3949333	7,9	0,01907349	0,3949333	7,9	0,01430511	0,3949	7,9	1372,754	0,3949333	7,9	1261,911	0,3948667	7,9	1371,907	0,3949	7,9	796,0558	0,3949333	7,9	775,3746	0,3949	7,9	762,1694	0,3949	7,9	-0,0007947286	0,3948667	7,9	85,40869	0,3948333
8	89,89175	0,3999	8	0,01589457	0,3998667	8	0,01430511	0,3998667	8	1399,38	0,3999333	8	1289,187	0,3999	8	1399,179	0,3999	8	828,7279	0,3998667	8	807,5507	0,3998667	8	794,2033	0,3998334	8	-0,001589457	0,3999	8	85,60419	0,3998667
8,1	91,34372	0,4049	8,1	0,02304713	0,4048667	8,1	0,007152557	0,4048333	8,1	1425,363	0,4048333	8,1	1315,532	0,4048333	8,1	1425,801	0,4048333	8,1	860,304	0,4048333	8,1	838,848	0,4048667	8,1	825,2136	0,4048667	8,1	-0,007947286	0,4048667	8,1	85,1059	0,4048
8,2	92,56125	0,4099333	8,2	0,007947286	0,4099	8,2	0,003178914	0,4099	8,2	1451,5	0,4099	8,2	1342,22	0,4098667	8,2	1452,438	0,4099	8,2	892,5073	0,4099	8,2	870,506	0,4099	8,2	856,9002	0,4099	8,2	-0,001589457	0,4099	8,2	84,08467	0,4098333
8,3	93,1859	0,4149	8,3	0,004768372	0,4148667	8,3	0,01430511	0,4148667	8,3	1478,153	0,4148333	8,3	1369,199	0,4148333	8,3	1479,406	0,4148333	8,3	924,1414	0,4148	8,3	901,9518	0,4148	8,3	888,3564	0,4148333	8,3	-0,008742015	0,4148	8,3	82,82582	0,4148667
8,4	93,72632	0,4198667	8,4	0,01351039	0,4198333	8,4	0,007152557	0,4198667	8,4	1504,203	0,4198333	8,4	1395,98	0,4198667	8,4	1506,368	0,4198333	8,4	955,5276	0,4198333	8,4	932,9486	0,4198	8,4	919,6337	0,4198333	8,4	-0,0278155	0,4198333	8,4	81,22444	0,4198333
8,5	94,32077	0,4249	8,5	0,002384186	0,4248333	8,5	0,002384186	0,4249	8,5	1530,774	0,4248333	8,5	1422,973	0,4248667	8,5	1533,544	0,4249	8,5	987,4241	0,4248333	8,5	964,6472	0,4248333	8,5	951,4753	0,4248667	8,5	-0,01430511	0,4248333	8,5	81,03848	0,4249
8,6	94,88503	0,4298667	8,6	0,009536743	0,4298334	8,6	-0,001589457	0,4298	8,6	1557,015	0,4298	8,6	1449,854	0,4298	8,6	1560,476	0,4298	8,6	1018,713	0,4297667	8,6	995,9102	0,4297667	8,6	982,8981	0,4298	8,6	-0,0055631	0,4297667	8,6	82,2703	0,4299
8,7	95,98016	0,4348333	8,7	0,01827876	0,4348333	8,7	0,0166893	0,4348	8,7	1583,156	0,4347667	8,7	1476,552	0,4348	8,7	1587,408	0,4348	8,7	1050,362	0,4348333	8,7	1027,514	0,4348333	8,7	1014,357	0,4348	8,7	-0,007947286	0,4348	8,7	83,975	0,4348333
8,8	96,7598	0,4399333	8,8	0,01033147	0,4399	8,8	-0,01509984	0,4399	8,8	1610,051	0,4398333	8,8	1503,881	0,4399	8,8	1615,044	0,4399	8,8	1082,966	0,4398667	8,8	1059,995	0,4398667	8,8	1046,797	0,4398667	8,8	0,002384186	0,4398333	8,8	84,60124	0,4399333
8,9	96,46495	0,4449	8,9	0,01033147	0,4448667	8,9	-0,01033147	0,4448333	8,9	1636,336	0,4448333	8,9	1530,574	0,4448667	8,9	1642,039	0,4448667	8,9	1114,318	0,4448333	8,9	1091,439	0,4448333	8,9	1077,91	0,4448333	8,9	0,01430511	0,4448	8,9	83,78426	0,4448
9	95,32531	0,4499334	9	0,01589457	0,4499	9	-0,0055631	0,4498667	9	1662,513	0,4498333	9	1557,449	0,4498667	9	1669,036	0,4499	9	1146,319	0,4498333	9	1123,647	0,4498667	9	1110,003	0,4498667	9	0,0055631	0,4498333	9	83,07139	0,4498333
9,1	93,56022	0,4548667	9,1	0,009536743	0,4548667	9,1	0,01589457	0,4548333	9,1	1689,552	0,4548333	9,1	1585,012	0,4548667	9,1	1696,775	0,4548333	9,1	1178,901	0,4548	9,1	1155,984	0,4548	9,1	1141,878	0,4548	9,1	-0,01509984	0,4548	9,1	81,71717	0,4548667
9,2	92,4317	0,4598667	9,2	0,01351039	0,4598333	9,2	0,007152557	0,4598333	9,2	1715,976	0,4598	9,2	1611,849	0,4598	9,2	1723,651	0,4598	9,2	1210,657	0,4598	9,2	1187,75	0,4598	9,2	1173,584	0,4598	9,2	-0,0055631	0,4598	9,2	79,77644	0,4598333
9,3	92,83304	0,4649	9,3	-0,003178914	0,4648667	9,3	-0,0007947286	0,4649	9,3	1742,462	0,4649	9,3	1638,771	0,4649	9,3	1750,828	0,4648667	9,3	1243,192	0,4649	9,3	1220,028	0,4649	9,3	1205,761	0,4648667	9,3	-0,001589457	0,4648667	9,3	78,53826	0,4648333
9,4	93,59201	0,4699	9,4	0,004768372	0,4698667	9,4	0,01827876	0,4698667	9,4	1769,792	0,4698	9,4	1666,493	0,4698667	9,4	1778,801	0,4698667	9,4	1276,133	0,4698333	9,4	1252,72	0,4698333	9,4	1238,396	0,4698333	9,4	-0,0007947286	0,4698333	9,4	79,14225	0,4699
9,5	93,42273	0,4748333	9,5	0,0055631	0,4748667	9,5	0,01192093	0,4749	9,5	1796,359	0,4749	9,5	1693,188	0,4749	9,5	1805,8	0,4748667	9,5	1308,321	0,4748667	9,5	1284,719	0,4748333	9,5	1270,355	0,4748667	9,5	0,003178914	0,4748	9,5	80,65462	0,4748333
9,6	92,90536	0,4799334	9,6	0,0007947286	0,4799	9,6	0,02384186	0,4799	9,6	1823,347	0,4799667	9,6	1720,773	0,4799667	9,6	1833,624	0,4799667	9,6	1341,141	0,4799667	9,6	1317,411	0,4799334	9,6	1303,012	0,4799667	9,6	-0,003178914	0,4798667	9,6	82,08593	0,4798667
9,7	92,34508	0,4849	9,7	0,009536743	0,4848667	9,7	0,004768372	0,4848667	9,7	1849,991	0,4848333	9,7	1747,977	0,4848667	9,7	1861,059	0,4848667	9,7	1374,156	0,4848333	9,7	1349,986	0,4848333	9,7	1335,422	0,4848667	9,7	-0,001589457	0,4848333	9,7	84,78562	0,4848333
9,8	91,20464	0,4899	9,8	-0,003178914	0,4898333	9,8	0,01827876	0,4899	9,8	1876,597	0,4897667	9,8	1775,257	0,4898	9,8	1888,275	0,4898	9,8	1406,952	0,4898333	9,8	1382,144	0,4898667	9,8	1367,522	0,4898667	9,8	-0,02622604	0,4898667	9,8	89,27266	0,4898
9,9	90,87721	0,4949333	9,9	0,004768372	0,4949333	9,9	0,01351039	0,4949	9,9	1903,602	0,4949	9,9	1802,663	0,4949	9,9	1915,715	0,4949333	9,9	1439,803	0,4949	9,9	1414,677	0,4949	9,9	1399,984	0,4949	9,9	0,0055631	0,4948667	9,9	94,55204	0,4948334
10	91,91751	0,4999	10	-0,006357829	0,4998667	10	0,007152557	0,4998333	10	1930,455	0,4998333	10	1829,716	0,4998333	10	1943,073	0,4998	10	1472,381	0,4998333	10	1446,797	0,4998	10	1432,24	0,4998333	10	0,007947286	0,4998	10	100,6413	0,4998667
10,1	94,17931	0,5048667	10,1	0,01589457	0,5048667	10,1	0,002384186	0,5048667	10,1	1957,521	0,5048333	10,1	1857,2	0,5048333	10,1	1970,506	0,5048333	10,1	1504,932	0,5048333	10,1	1479,897	0,5048333	10,1	1464,752	0,5048	10,1	0,03735225	0,5048333	10,1	107,0722	0,5048333
10,2	95,76877	0,5098667	10,2	-0,01033147	0,5098667	10,2	-0,001589457	0,5098667	10,2	1984,909	0,5098667	10,2	1884,906	0,5098667	10,2	1998,336	0,5098333	10,2	1538,138	0,5098333	10,2	1512,769	0,5098667	10,2	1498,014	0,5098667	10,2	0,2495448	0,5098	10,2	113,852	0,5099
10,3	96,20428	0,5148333	10,3	0,004768372	0,5148	10,3	0,01192093	0,5148333	10,3	2011,409	0,5148	10,3	1912,125	0,5148	10,3	2025,405	0,5148	10,3	1570,658	0,5148	10,3	1545,336	0,5148333	10,3	1530,193	0,5148	10,3	1,502037	0,5148	10,3	120,616	0,5148333
10,4	96,13514	0,5198333	10,4	-0,003178914	0,5198333	10,4	-0,007947286	0,5198666	10,4	2038,535	0,5198666	10,4	1939,175	0,5198666	10,4	2053,049	0,5198666	10,4	1603,623	0,5198333	10,4	1578,017	0,5198666	10,4	1562,8	0,5199	10,4	4,342397	0,5198333	10,4	127,5603	0,5198666
10,5	96,52296	0,5248667	10,5	0,01907349	0,5248333	10,5	0,01430511	0,5248667	10,5	2066,221	0,5248333	10,5	1967,303	0,5248333	10,5	2080,99	0,5248333	10,5	1636,989	0,5248667	10,5	1611,607	0,5248333	10,5	1596,235	0,5248333	10,5	7,928213	0,5248333	10,5	134,6413	0,5248333
10,6	95,82043	0,5298667	10,6	0,09298325	0,5298333	10,6	-0,01033147	0,5298333	10,6	2092,423	0,5298333	10,6	1994,084	0,5298333	10,6	2107,368	0,5298333	10,6	1669,104	0,5298	10,6	1643,724	0,5298333	10,6	1628,614	0,5298333	10,6	12,65844	0,5298333	10,6	141,7867	0,5298333
10,7	94,3168	0,5348667	10,7	0,3616015	0,5348333	10,7	0,01589457	0,5348333	10,7	2118,879	0,5349	10,7	2020,807	0,5348667	10,7	2133,999	0,5348667	10,7	1701,502	0,5348667	10,7	1676,259	0,5348667	10,7	1660,755	0,5348333	10,7	18,37412	0,5348	10,7	148,9941	0,5348667
10,8	94,13084	0,5399	10,8	0,7597606	0,5398334	10,8	0,0007947286	0,5398334	10,8	2145,705	0,5398	10,8	2047,765	0,5397667	10,8	2161,27	0,5398	10,8	1733,894	0,5398334	10,8	1708,632	0,5398334	10,8	1693,189	0,5398	10,8	25,39873	0,5398	10,8	156,1761	0,5398334
10,9	95,94679	0,5448334	10,9	1,713435	0,5448334	10,9	-0,008742015	0,5448334	10,9	2171,677	0,5448	10,9	2074,176	0,5448	10,9	2187,588	0,5447667	10,9	1765,984	0,5447667	10,9	1740,779	0,5448334	10,9	1725,191	0,5447667	10,9	33,59159	0,5448	10,9	163,5981	0,5447667
11	98,47164	0,5499333	11	5,510648	0,5499	11	0,002384186	0,5498667	11	2198,398	0,5499	11	2101,014	0,5499	11	2214,618	0,5499	11	1798,138	0,5498667	11	1773,007	0,5499	11	1757,399	0,5499	11	42,665	0,5498334	11	171,0025	0,5498334
11,1	100,5602	0,5549334	11,1	13,42138	0,5548334	11,1	0,007152557	0,5548334	11,1	2224,84	0,5548334	11,1	2128,051	0,5548334	11,1	2241,368	0,5548334	11,1	1830,257	0,5548334	11,1	1805,213	0,5548	11,1	1789,401	0,5548334	11,1	52,78587	0,5548334	11,1	178,74	0,5548667
11,2	108,8603	0,5599	11,2	23,80927	0,5598667	11,2	-0,0055631	0,5598667	11,2	2251,12	0,5598333	11,2	2154,319	0,5598333	11,2	2268,025	0,5598667	11,2	1862,253	0,5598667	11,2	1837,374	0,5599	11,2	1821,629	0,5598667	11,2	63,75472	0,5598333	11,2	186,5212	0,5598333
11,3	118,6681	0,5649334	11,3	35,96385	0,5649	11,3	0,0055631	0,5649	11,3	2278,199	0,5649	11,3	2181,892	0,5649	11,3	2294,967	0,5649	11,3	1894,367	0,5649	11,3	1869,611	0,5648667	11,3	1853,877	0,5649	11,3	75,40226	0,5648667	11,3	194,3127	0,5648333
11,4	129,0448	0,5699	11,4	49,51	0,5699	11,4	-0,008742015	0,5698333	11,4	2303,978	0,5697667	11,4	2208,304	0,5698333	11,4	2321,407	0,5698333	11,4	1926,252	0,5698333	11,4	1901,448	0,5698333	11,4	1885,543	0,5698333	11,4	87,61565	0,5698333	11,4	202,1368	0,5698333
11,5	140,3944	0,5748667	11,5	63,75949	0,5748667	11,5	0,01033147	0,5748333	11,5	2330,551	0,5748333	11,5	2235,188	0,5748333	11,5	2348,337	0,5748333	11,5	1957,665	0,5748333	11,5	1932,595	0,5748333	11,5	1916,828	0,5748667	11,5	100,17	0,5748333	11,5	210,0817	0,5748
11,6	152,6674	0,5799	11,6	78,99841	0,5798666	11,6	0,003178914	0,5798666	11,6	2357,563	0,5798666	11,6	2262,681	0,5798666	11,6	2375,514	0,5798666	11,6	1990,229	0,5798333	11,6	1964,961	0,5798666	11,6	1949,031	0,5798333	11,6	113,3482	0,5798	11,6	218,0767	0,5798666
11,7	165,4395	0,5848667	11,7	94,47416	0,5848333	11,7	-0,01271566	0,5848333	11,7	2383,758	0,5848	11,7	2288,947	0,5848333	11,7	2402,218	0,5848333	11,7	2021,716	0,5848333	11,7	1996,24	0,5848333	11,7	1980,308	0,5848333	11,7	126,7727	0,5848	11,7	226,1424	0,5848
11,8	178,7162	0,5899	11,8	110,5221	0,5898333	11,8	0,0055631	0,5898333	11,8	2410,665	0,5898667	11,8	2316,367	0,5898667	11,8	2429,546	0,5898667	11,8	2053,667	0,5898667	11,8	2028,359	0,5898667	11,8	2012,226	0,5899	11,8	140,9149	0,5898667	11,8	234,3567	0,5898667
11,9	192,7972	0,5948667	11,9	126,9579	0,5948667	11,9	-0,0055631	0,5948333	11,9	2437,86	0,5948	11,9	2343,952	0,5948	11,9	2457,037	0,5948333	11,9	2086,117	0,5948333	11,9	2060,768	0,5948333	11,9	2044,218	0,5948333	11,9	155,4688	0,5948	11,9	242,6235	0,5949
12	206,9235	0,5998667	12	143,6265	0,5998334	12	-0,001589457	0,5998334	12	2464,091	0,5997667	12	2370,589	0,5998	12	2483,525	0,5998	12	2117,099	0,5997667	12	2091,977	0,5998	12	2075,427	0,5998	12	170,1387	0,5997667	12	250,8179	0,5998334
12,1	221,3581	0,6049333	12,1	160,7672	0,6049	12,1	-0,007947286	0,6048667	12,1	2491,045	0,6049	12,1	2397,777	0,6049	12,1	2511,032	0,6049333	12,1	2148,926	0,6049	12,1	2124,044	0,6049	12,1	2106,865	0,6049	12,1	185,3681	0,6049	12,1	259,0323	0,6048334
12,2	236,4453	0,6099	12,2	178,3617	0,6098667	12,2	-0,008742015	0,6099	12,2	2517,944	0,6098334	12,2	2424,973	0,6098334	12,2	2538,369	0,6098334	12,2	2181,04	0,6098	12,2	2155,855	0,6098	12,2	2138,747	0,6098334	12,2	200,8708	0,6098334	12,2	267,2911	0,6098667
12,3	251,4982	0,6148667	12,3	195,9197	0,6148667	12,3	-0,0111262	0,6148667	12,3	2544,379	0,6148334	12,3	2451,823	0,6148334	12,3	2565,095	0,6148334	12,3	2212,478	0,6148334	12,3	2187,704	0,6148334	12,3	2170,118	0,6148334	12,3	216,7773	0,6148	12,3	275,5793	0,6148334
12,4	266,7181	0,6199	12,4	213,3513	0,6198667	12,4	-0,001589457	0,6199	12,4	2571,515	0,6199334	12,4	2479,139	0,6199334	12,4	2592,758	0,6199334	12,4	2243,722	0,6198667	12,4	2218,799	0,6198667	12,4	2201,186	0,6198667	12,4	232,7323	0,6198334	12,4	283,9804	0,6198334
12,5	282,2828	0,6248667	12,5	230,7495	0,6248333	12,5	-0,0055631	0,6248333	12,5	2598,233	0,6248	12,5	2506,066	0,6247666	12,5	2619,84	0,6247666	12,5	2275,07	0,6248	12,5	2249,948	0,6248	12,5	2232,061	0,6248	12,5	249,1252	0,6248	12,5	292,5189	0,6248333
12,6	298,5136	0,6298333	12,6	248,2605	0,6298333	12,6	-0,006357829	0,6298667	12,6	2625,208	0,6298	12,6	2533,457	0,6298333	12,6	2647,077	0,6298667	12,6	2306,465	0,6298	12,6	2281,318	0,6298333	12,6	2263,522	0,6298333	12,6	265,5435	0,6298333	12,6	300,839	0,6298
12,7	315,3578	0,6349334	12,7	266,0545	0,6348667	12,7	-0,01430511	0,6349	12,7	2652,833	0,6349	12,7	2561,665	0,6349334	12,7	2675,57	0,6349	12,7	2338,436	0,6349	12,7	2313,254	0,6348667	12,7	2295,111	0,6349334	12,7	282,5658	0,6348	12,7	309,4308	0,6349334
12,8	332,3531	0,6399	12,8	283,5814	0,6398333	12,8	-0,0055631	0,6398667	12,8	2679,469	0,6399	12,8	2588,626	0,6398333	12,8	2702,222	0,6398667	12,8	2369,334	0,6399	12,8	2344,493	0,6398333	12,8	2325,999	0,6398333	12,8	299,681	0,6398667	12,8	317,8668	0,6398333
12,9	350,0843	0,6449	12,9	301,5081	0,6448333	12,9	-0,007947286	0,6448666	12,9	2706,543	0,6448333	12,9	2616,262	0,6449	12,9	2729,81	0,6449	12,9	2400,164	0,6448666	12,9	2375,003	0,6448333	12,9	2356,757	0,6449	12,9	317,4305	0,6448333	12,9	326,4928	0,6448333
13	368,0722	0,6499	13	319,8163	0,6499	13	-0,02384186	0,6499	13	2734,233	0,6498667	13	2644,301	0,6498667	13	2757,442	0,6498667	13	2431,996	0,6498333	13	2406,777	0,6498667	13	2388,184	0,6498667	13	335,8078	0,6498333	13	335,0616	0,6498333
13,1	386,4026	0,6548667	13,1	338,5583	0,6548333	13,1	-0,01907349	0,6548667	13,1	2760,352	0,6548333	13,1	2671,074	0,6548333	13,1	2784,234	0,6548333	13,1	2462,701	0,6548333	13,1	2437,148	0,6548333	13,1	2418,804	0,6548333	13,1	354,1279	0,6548	13,1	343,6987	0,6548333
13,2	404,9659	0,6599333	13,2	357,5381	0,6598667	13,2	0,0007947286	0,6599	13,2	2787,488	0,6599333	13,2	2698,559	0,6599	13,2	2811,626	0,6599	13,2	2493,752	0,6599	13,2	2468,333	0,6599	13,2	2449,339	0,6598667	13,2	372,6633	0,6598667	13,2	352,4613	0,6598333
13,3	424,06	0,6648667	13,3	376,7649	0,6648334	13,3	-0,0007947286	0,6648667	13,3	2814,52	0,6647667	13,3	2725,777	0,6648	13,3	2838,973	0,6648	13,3	2524,479	0,6648334	13,3	2499,077	0,6648334	13,3	2480,273	0,6648334	13,3	391,6709	0,6648334	13,3	361,2995	0,6648667
13,4	443,271	0,6698334	13,4	396,0904	0,6698334	13,4	0,007947286	0,6698334	13,4	2841,097	0,6698334	13,4	2752,646	0,6698334	13,4	2865,723	0,6698334	13,4	2554,936	0,6698	13,4	2529,743	0,6698334	13,4	2510,83	0,6698	13,4	410,986	0,6698334	13,4	370,0495	0,6698334
13,5	462,3342	0,6749	13,5	415,4817	0,6748667	13,5	0,01033147	0,6749	13,5	2868,022	0,6749	13,5	2780,018	0,6749	13,5	2893,153	0,6749	13,5	2585,464	0,6749	13,5	2560,293	0,6749	13,5	2541,351	0,6748667	13,5	430,4719	0,6748334	13,5	378,9035	0,6748667
13,6	481,9663	0,6798667	13,6	435,2141	0,6798334	13,6	-0,0007947286	0,6798334	13,6	2894,495	0,6798	13,6	2806,743	0,6797667	13,6	2919,539	0,6798334	13,6	2615,815	0,6797667	13,6	2590,714	0,6798	13,6	2571,372	0,6798	13,6	450,4895	0,6797667	13,6	387,8053	0,6799
13,7	501,6764	0,6848	13,7	455,0966	0,6848	13,7	-0,01430511	0,6848333	13,7	2921,071	0,6848333	13,7	2833,304	0,6848	13,7	2946,618	0,6847667	13,7	2645,831	0,6847667	13,7	2620,473	0,6847667	13,7	2601,186	0,6848	13,7	470,6788	0,6848	13,7	396,5576	0,6848667
13,8	522,2321	0,6899334	13,8	475,2175	0,6899334	13,8	-0,01986822	0,6898667	13,8	2948,243	0,6898333	13,8	2860,459	0,6899	13,8	2973,592	0,6899	13,8	2676,86	0,6898667	13,8	2651,712	0,6899	13,8	2631,882	0,6898667	13,8	491,9164	0,6898667	13,8	405,4062	0,6898667
13,9	542,8593	0,6948333	13,9	495,5689	0,6948333	13,9	-0,0055631	0,6949	13,9	2974,526	0,6947667	13,9	2887,428	0,6948	13,9	3000,029	0,6947667	13,9	2706,073	0,6948333	13,9	2680,811	0,6948333	13,9	2661,443	0,6948	13,9	512,7661	0,6948	13,9	414,2499	0,6948333
14	564,1913	0,6998667	14	516,3066	0,6998333	14	-0,0111262	0,6998333	14	3001,491	0,6998667	14	2914,507	0,6998667	14	3027,253	0,6998667	14	2736,296	0,6998333	14	2711,04	0,6998333	14	2691,712	0,6998333	14	533,9352	0,6998	14	423,1723	0,6998333
14,1	585,928	0,7049	14,1	537,3224	0,7048666	14,1	-0,03099442	0,7048666	14,1	3028,761	0,7048333	14,1	2942,104	0,7048333	14,1	3054,629	0,7049	14,1	2767,455	0,7048333	14,1	2742,082	0,7048333	14,1	2722,609	0,7048333	14,1	555,5447	0,7048	14,1	432,1003	0,7049
14,2	607,5469	0,7098333	14,2	558,3365	0,7098333	14,2	-0,008742015	0,7098333	14,2	3054,588	0,7098	14,2	2968,133	0,7098	14,2	3080,703	0,7098333	14,2	2797,042	0,7098	14,2	2771,739	0,7098	14,2	2752,393	0,7098	14,2	576,9872	0,7098	14,2	441,0601	0,7098
14,3	629,8431	0,7149	14,3	579,8117	0,7148667	14,3	-0,003178914	0,7148667	14,3	3081,849	0,7149	14,3	2995,744	0,7149	14,3	3108,207	0,7149	14,3	2827,958	0,7149	14,3	2802,833	0,7149333	14,3	2783,408	0,7149	14,3	598,7978	0,7148667	14,3	450,0079	0,7148
14,4	652,7416	0,7199	14,4	601,9457	0,7198667	14,4	-0,01509984	0,7198667	14,4	3109,341	0,7198667	14,4	3023,759	0,7198333	14,4	3135,843	0,7198667	14,4	2859,401	0,7198	14,4	2834,553	0,7198333	14,4	2814,951	0,7198667	14,4	621,175	0,7198333	14,4	459,3039	0,7198667
14,5	675,017	0,7248334	14,5	623,2357	0,7248667	14,5	-0,02145767	0,7248334	14,5	3135,663	0,7248334	14,5	3050,249	0,7248334	14,5	3162,417	0,7248667	14,5	2888,984	0,7248334	14,5	2864,631	0,7248	14,5	2844,725	0,7248667	14,5	642,9442	0,7248667	14,5	468,1889	0,7248
14,6	697,9633	0,7299667	14,6	645,4102	0,7299333	14,6	-0,01033147	0,7298667	14,6	3162,583	0,7299667	14,6	3077,296	0,73	14,6	3189,701	0,73	14,6	2920,383	0,7299	14,6	2895,55	0,7299667	14,6	2875,495	0,7299667	14,6	665,5773	0,7298667	14,6	477,3188	0,7298
14,7	720,9142	0,7349	14,7	667,243	0,7348334	14,7	-0,01430511	0,7348667	14,7	3189,115	0,7347667	14,7	3104,173	0,7348	14,7	3216,707	0,7348	14,7	2950,306	0,7348	14,7	2925,937	0,7348334	14,7	2905,776	0,7348	14,7	687,8002	0,7348667	14,7	486,5106	0,7348334
14,8	743,7245	0,7398667	14,8	689,2172	0,7398334	14,8	0,007947286	0,7398667	14,8	3215,595	0,7397667	14,8	3130,861	0,7398334	14,8	3243,313	0,7398334	14,8	2980,425	0,7397667	14,8	2956,267	0,7398	14,8	2935,999	0,7398	14,8	710,1877	0,7398	14,8	495,6722	0,7398
14,9	766,9091	0,7449334	14,9	711,4816	0,7449	14,9	-0,0055631	0,7449334	14,9	3242,496	0,7449334	14,9	3158,127	0,7449334	14,9	3270,529	0,7449	14,9	3011,161	0,7449	14,9	2987,32	0,7449334	14,9	2966,635	0,7449334	14,9	732,9973	0,7448334	14,9	504,9928	0,7448334
15	790,0389	0,7498667	15	733,5289	0,7498333	15	0,02066294	0,7498	15	3268,557	0,7498	15	3184,535	0,7498	15	3296,549	0,7498333	15	3040,874	0,7498	15	3017,296	0,7498	15	2996,693	0,7498	15	755,3998	0,7498	15	514,5645	0,7498333
15,1	813,4818	0,7549	15,1	755,9689	0,7548333	15,1	-0,01986822	0,7548667	15,1	3295,189	0,7548667	15,1	3211,528	0,7548667	15,1	3323,379	0,7548667	15,1	3071,352	0,7548667	15,1	3047,922	0,7548667	15,1	3027,185	0,7548667	15,1	778,5137	0,7548	15,1	523,7937	0,7548
15,2	837,4047	0,7598667	15,2	778,9167	0,7598667	15,2	0,01827876	0,7598667	15,2	3322,582	0,7599	15,2	3239,276	0,7599	15,2	3350,969	0,7599	15,2	3102,837	0,7599	15,2	3079,453	0,7599	15,2	3058,314	0,7599	15,2	801,7063	0,7598	15,2	533,367	0,7599
15,3	860,6863	0,7648333	15,3	801,2128	0,7648	15,3	-0,02145767	0,7648	15,3	3348,09	0,7647667	15,3	3265,332	0,7647667	15,3	3376,548	0,7647667	15,3	3131,638	0,7647667	15,3	3108,442	0,7647667	15,3	3087,061	0,7647667	15,3	824,3346	0,7648	15,3	542,6939	0,7648333
15,4	884,1848	0,7698333	15,4	823,9969	0,7698333	15,4	0,002384186	0,7698667	15,4	3374,525	0,7699	15,4	3292,257	0,7699	15,4	3403,403	0,7699	15,4	3161,941	0,7699	15,4	3138,631	0,7699	15,4	3117,175	0,7698667	15,4	847,3071	0,7698333	15,4	551,9954	0,7698667
