1 _ 1			1 _ 2			1 _ 3			1 _ 4			1 _ 5			1 _ 6		
Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход
сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм
3,4	381,2432	0,05723333	3,4	197,4654	0,0573	3,4	188,2648	0,05723333	3,4	187,7801	0,05723333	3,4	187,8468	0,05723333	3,4	189,8042	0,05723333
3,5	387,183	0,05896667	3,5	203,9305	0,0589	3,5	194,7586	0,0589	3,5	194,265	0,05893333	3,5	194,3549	0,05893333	3,5	196,2852	0,05893333
3,6	393,1657	0,06063334	3,6	210,3949	0,0606	3,6	201,2642	0,06056667	3,6	200,7016	0,06056667	3,6	200,8104	0,0606	3,6	202,7702	0,0606
3,7	399,3384	0,06223333	3,7	216,8226	0,0623	3,7	207,727	0,06223333	3,7	207,2112	0,06223333	3,7	207,3137	0,06223333	3,7	209,2957	0,06223333
3,8	405,4046	0,06393334	3,8	223,3299	0,0639	3,8	214,1984	0,0639	3,8	213,7431	0,0639	3,8	213,8527	0,06393334	3,8	215,7815	0,0639
3,9	411,3921	0,0656	3,9	229,8673	0,06556667	3,9	220,7557	0,06556667	3,9	220,2106	0,0656	3,9	220,3472	0,06556667	3,9	222,2284	0,06556667
4	417,432	0,0673	4	236,2911	0,06726667	4	227,2034	0,06723333	4	226,6646	0,06723333	4	226,7281	0,06726667	4	228,6299	0,06726667
4,1	423,5045	0,06893333	4,1	242,6497	0,06893333	4,1	233,6399	0,0689	4,1	233,0558	0,06893333	4,1	233,1392	0,06893333	4,1	235,0052	0,06893333
4,2	429,5961	0,07056667	4,2	249,0656	0,07063334	4,2	240,0263	0,07056667	4,2	239,4048	0,07056667	4,2	239,4986	0,0706	4,2	241,3225	0,0706
4,3	435,5621	0,07223333	4,3	255,3837	0,07226667	4,3	246,3818	0,07226667	4,3	245,7794	0,07223333	4,3	245,8247	0,07226667	4,3	247,6827	0,07223333
4,4	441,5337	0,07393333	4,4	261,6795	0,07393333	4,4	252,7118	0,0739	4,4	252,0895	0,0739	4,4	252,1912	0,0739	4,4	253,9929	0,0739
4,5	447,5284	0,0756	4,5	267,9571	0,0756	4,5	259,0616	0,07556666	4,5	258,4076	0,07556666	4,5	258,4696	0,07556666	4,5	260,3038	0,0756
4,6	453,4515	0,07726667	4,6	274,2076	0,07726667	4,6	265,3225	0,07723334	4,6	264,7169	0,07723334	4,6	264,8457	0,0772	4,6	266,6982	0,07723334
4,7	459,2983	0,07893334	4,7	280,5154	0,0789	4,7	271,6605	0,07893334	4,7	271,1153	0,0789	4,7	271,248	0,0789	4,7	273,0656	0,07893334
4,8	465,0561	0,0806	4,8	286,8883	0,0806	4,8	278,0811	0,08056667	4,8	277,4413	0,08056667	4,8	277,5852	0,08056667	4,8	279,4091	0,0806
4,9	470,8767	0,08226667	4,9	293,1587	0,08226667	4,9	284,396	0,08223333	4,9	283,7674	0,08223333	4,9	283,9438	0,08223333	4,9	285,7486	0,08223333
5	476,6734	0,0839	5	299,4426	0,08393333	5	290,7141	0,0839	5	290,1379	0,08393333	5	290,2778	0,0839	5	292,1104	0,08393333
5,1	482,4527	0,08556667	5,1	305,7051	0,08563334	5,1	297,0322	0,08563334	5,1	296,5117	0,0856	5,1	296,7	0,0856	5,1	298,5088	0,0856
5,2	488,2368	0,08723333	5,2	312,043	0,08726667	5,2	303,429	0,08726667	5,2	302,9196	0,08723333	5,2	303,0976	0,08723333	5,2	304,8841	0,08723333
5,3	494,1074	0,0889	5,3	318,4175	0,08893333	5,3	309,8202	0,0889	5,3	309,2837	0,0889	5,3	309,4769	0,08893333	5,3	311,2833	0,08896667
5,4	499,9352	0,0906	5,4	324,7198	0,09063333	5,4	316,1899	0,0906	5,4	315,6599	0,0906	5,4	315,8418	0,09056666	5,4	317,715	0,09063333
5,5	505,6961	0,09223334	5,5	331,0656	0,09226667	5,5	322,547	0,09226667	5,5	322,0503	0,09226667	5,5	322,2799	0,09226667	5,5	324,0999	0,09226667
5,6	511,4635	0,0939	5,6	337,441	0,0939	5,6	328,962	0,0939	5,6	328,4868	0,0939	5,6	328,66	0,09393334	5,6	330,4998	0,09393334
5,7	517,1768	0,0956	5,7	343,7599	0,0956	5,7	335,3739	0,09556667	5,7	334,8279	0,0956	5,7	335,0464	0,09563334	5,7	336,864	0,09563334
5,8	522,8885	0,09723333	5,8	350,0215	0,09726667	5,8	341,6983	0,0973	5,8	341,231	0,09726667	5,8	341,4258	0,09723333	5,8	343,2687	0,09726667
5,9	528,6805	0,0989	5,9	356,3698	0,09896667	5,9	348,0736	0,09893333	5,9	347,6222	0,09893333	5,9	347,8304	0,09893333	5,9	349,6734	0,09893333
6	534,3557	0,1005667	6	362,6839	0,1006	6	354,5006	0,1005667	6	354,0023	0,1005667	6	354,1724	0,1006	6	356,0416	0,1006
6,1	540,0936	0,1018667	6,1	369,033	0,1022333	6,1	360,8282	0,1022333	6,1	360,3458	0,1022333	6,1	360,5866	0,1022333	6,1	362,3994	0,1022667
6,2	545,5963	0,1019	6,2	375,2955	0,1039333	6,2	367,2099	0,1039	6,2	366,7442	0,1039	6,2	366,9969	0,1039	6,2	368,8717	0,1039667
6,3	548,2777	0,1019	6,3	381,5881	0,1056333	6,3	373,6329	0,1056	6,3	373,1481	0,1056	6,3	373,4557	0,1056	6,3	375,3861	0,1056
6,4	548,0297	0,1019	6,4	388,0151	0,1073	6,4	380,0797	0,1072333	6,4	379,6832	0,1072333	6,4	379,9097	0,1072333	6,4	381,7995	0,1072667
6,5	547,498	0,1019	6,5	394,4	0,1089667	6,5	386,5369	0,1089333	6,5	386,0768	0,1089	6,5	386,2985	0,1089333	6,5	388,1884	0,1089
6,6	547,0228	0,1018667	6,6	400,6958	0,1106333	6,6	392,8177	0,1106	6,6	392,4187	0,1105667	6,6	392,708	0,1105667	6,6	394,6082	0,1106
6,7	546,6016	0,1018667	6,7	406,9614	0,1122667	6,7	399,2248	0,1122667	6,7	398,8337	0,1122333	6,7	399,1103	0,1122667	6,7	401,0224	0,1122667
6,8	546,2257	0,1018667	6,8	413,2493	0,1139333	6,8	405,5699	0,1139333	6,8	405,2162	0,1139	6,8	405,5365	0,1139333	6,8	407,4645	0,1139333
