1 _ 1			1 _ 2			1 _ 3			1 _ 4			1 _ 5			1 _ 6		
Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход
сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм
15,2	306,3115	0,03456667	15,2	486,9072	0,1262	15,2	495,8892	0,1294333	15,2	496,7674	0,1294667	15,2	491,7542	0,1277333	15,2	493,9143	0,1277667
15,3	299,9655	0,0329	15,3	480,3276	0,1245333	15,3	489,2993	0,1277667	15,3	490,16	0,1277667	15,3	485,1786	0,1261	15,3	487,3347	0,1261
15,4	293,618	0,03123333	15,4	473,7337	0,1228667	15,4	482,6927	0,1261	15,4	483,5749	0,1261	15,4	478,5872	0,1244333	15,4	480,7266	0,1244333
15,5	287,3015	0,02956667	15,5	467,1725	0,1212333	15,5	476,1171	0,1244333	15,5	476,9683	0,1244333	15,5	471,9726	0,1227667	15,5	474,1311	0,1227667
15,6	280,9469	0,02786667	15,6	460,6827	0,1195667	15,6	469,5487	0,1227667	15,6	470,3792	0,1228	15,6	465,4018	0,1211	15,6	467,5285	0,1211
15,7	274,5843	0,0262	15,7	454,1675	0,1178667	15,7	463,0002	0,1211	15,7	463,8267	0,1211	15,7	458,8739	0,1194667	15,7	460,9792	0,1194333
15,8	268,2098	0,02456667	15,8	447,673	0,1161667	15,8	456,4929	0,1194333	15,8	457,3075	0,1194333	15,8	452,35	0,1177667	15,8	454,4258	0,1177667
15,9	261,8535	0,0229	15,9	441,1904	0,1145333	15,9	450,0071	0,1177667	15,9	450,8416	0,1177667	15,9	445,8396	0,1161	15,9	447,8987	0,1161333
16	255,5172	0,0212	16	434,6498	0,1128667	16	443,507	0,1161	16	444,3192	0,1161	16	439,3363	0,1144333	16	441,3605	0,1144333
16,1	249,1148	0,0196	16,1	428,1767	0,1112	16,1	437,0141	0,1144	16,1	437,8152	0,1144333	16,1	432,8466	0,1127333	16,1	434,8246	0,1127667
16,2	242,7014	0,0179	16,2	421,7752	0,1095667	16,2	430,4568	0,1127667	16,2	431,2873	0,1127667	16,2	426,2948	0,1110667	16,2	428,3214	0,1111
16,3	236,3435	0,01623333	16,3	415,3768	0,1079	16,3	423,9949	0,1111	16,3	424,7975	0,1111	16,3	419,8249	0,1094333	16,3	421,8125	0,1094333
16,4	229,8689	0,01456667	16,4	409,0269	0,1062333	16,4	417,61	0,1094333	16,4	418,3714	0,1094667	16,4	413,3884	0,1077667	16,4	415,3657	0,1077667
16,5	223,3855	0,01283333	16,5	402,6111	0,1045333	16,5	411,1767	0,1077667	16,5	411,9857	0,1077667	16,5	407,0139	0,1061	16,5	408,9681	0,1061333
16,6	216,8091	0,0112	16,6	396,2493	0,1028333	16,6	404,7807	0,1061	16,6	405,5858	0,1061	16,6	400,571	0,1044333	16,6	402,5769	0,1044333
16,7	210,3297	0,009533334	16,7	389,8398	0,1012333	16,7	398,3919	0,1044	16,7	399,189	0,1044333	16,7	394,1933	0,1027667	16,7	396,2127	0,1027333
16,8	203,8074	0,007900001	16,8	383,3985	0,09953333	16,8	391,9983	0,1027667	16,8	392,7565	0,1027667	16,8	387,7982	0,1011	16,8	389,8279	0,1011
16,9	197,3478	0,006166667	16,9	376,9334	0,09786667	16,9	385,5801	0,1011	16,9	386,3565	0,1010667	16,9	381,3799	0,09946667	16,9	383,4176	0,0994
17	190,8652	0,004566667	17	370,574	0,09616667	17	379,2159	0,09943333	17	379,9629	0,0994	17	374,9752	0,09776667	17	377,0343	0,09776667
17,1	184,42	0,0029	17,1	364,1876	0,09453333	17,1	372,7349	0,09773333	17,1	373,5137	0,09776667	17,1	368,545	0,0961	17,1	370,5311	0,0961
17,2	178,0017	0,001233333	17,2	357,7765	0,09286667	17,2	366,385	0,09606667	17,2	367,1209	0,0961	17,2	362,1387	0,0944	17,2	364,213	0,09443334
17,3	171,5215	-0,0004333333	17,3	351,3853	0,09123334	17,3	359,9556	0,09443334	17,3	360,7345	0,09443334	17,3	355,7475	0,09276666	17,3	357,8138	0,09276666
17,4	165,0047	-0,0021	17,4	344,9734	0,08953334	17,4	353,5573	0,09273333	17,4	354,3186	0,09276666	17,4	349,3158	0,0911	17,4	351,39	0,09106667
17,5	158,4808	-0,003766667	17,5	338,6164	0,08783334	17,5	347,1637	0,0911	17,5	347,8559	0,0911	17,5	342,9429	0,08943333	17,5	344,9607	0,08943333
17,6	151,875	-0,005433334	17,6	332,2363	0,0862	17,6	340,7447	0,0894	17,6	341,498	0,08943333	17,6	336,5389	0,08776667	17,6	338,579	0,08776667
17,7	145,2788	-0,0071	17,7	325,8188	0,08453333	17,7	334,3805	0,08776667	17,7	335,1164	0,08776667	17,7	330,143	0,0861	17,7	332,2315	0,0861
17,8	138,634	-0,0088	17,8	319,4499	0,0829	17,8	327,944	0,08606667	17,8	328,6997	0,0861	17,8	323,7701	0,0844	17,8	325,8252	0,08443333
17,9	131,9949	-0,01043333	17,9	313,1111	0,08123334	17,9	321,5257	0,0844	17,9	322,2863	0,08446667	17,9	317,3319	0,08276667	17,9	319,4253	0,08276667
18	125,3907	-0,0121	18	306,7279	0,07953333	18	315,1735	0,08276667	18	315,8736	0,0828	18	310,9828	0,0811	18	313,0706	0,0811
18,1	118,8016	-0,0138	18,1	300,3613	0,0779	18,1	308,7997	0,0811	18,1	309,5333	0,0811	18,1	304,6393	0,07943334	18,1	306,7064	0,07943334
18,2	112,1728	-0,01546667	18,2	293,9796	0,07623333	18,2	302,4292	0,07943334	18,2	303,1429	0,07943334	18,2	298,2275	0,0778	18,2	300,3423	0,07776666
18,3	105,5455	-0,01713333	18,3	287,625	0,07456667	18,3	296,0269	0,07776666	18,3	296,7811	0,0778	18,3	291,872	0,0761	18,3	293,9622	0,07613333
18,4	98,98424	-0,01876667	18,4	281,2584	0,07283334	18,4	289,7437	0,07606667	18,4	290,4161	0,0761	18,4	285,5293	0,07443333	18,4	287,6218	0,07443333
18,5	92,40945	-0,02043333	18,5	274,8831	0,0712	18,5	283,3772	0,07443333	18,5	284,0765	0,07443333	18,5	279,146	0,07276667	18,5	281,2521	0,0728
18,6	85,84738	-0,0221	18,6	268,5205	0,06953333	18,6	276,9939	0,07273334	18,6	277,702	0,07276667	18,6	272,7668	0,07106667	18,6	274,8767	0,0711
18,7	79,3465	-0,02383333	18,7	262,1563	0,0679	18,7	270,621	0,07106667	18,7	271,2997	0,0711	18,7	266,393	0,06946667	18,7	268,4967	0,06943333
18,8	72,848	-0,02546667	18,8	255,7762	0,06623334	18,8	264,221	0,06946667	18,8	264,9085	0,06943333	18,8	259,9986	0,06776667	18,8	262,0967	0,06776667
18,9	66,3201	-0,02713333	18,9	249,4224	0,06453333	18,9	257,8934	0,06773333	18,9	258,557	0,0678	18,9	253,6877	0,06613334	18,9	255,7588	0,0661
19	59,97578	-0,0288	19	243,0598	0,06286667	19	251,5038	0,0661	19	252,1555	0,06613334	19	247,2901	0,06443334	19	249,3993	0,06443334
19,1	53,60047	-0,0305	19,1	236,64	0,0612	19,1	245,1126	0,0644	19,1	245,8016	0,06443334	19,1	240,9418	0,06276666	19,1	243,0399	0,06283333
19,2	47,26251	-0,0321	19,2	230,2321	0,0595	19,2	238,7714	0,06276666	19,2	239,4247	0,0628	19,2	234,5816	0,0611	19,2	236,7004	0,0611
19,3	40,94203	-0,0338	19,3	223,7995	0,05786667	19,3	232,3779	0,0611	19,3	233,0669	0,06113333	19,3	228,1817	0,05946667	19,3	230,3759	0,05943333
19,4	34,66527	-0,03546667	19,4	217,2939	0,05616667	19,4	225,9938	0,0594	19,4	226,7273	0,05943333	19,4	221,7881	0,05776667	19,4	223,9466	0,05776667
19,5	28,37499	-0,0371	19,5	210,8018	0,05453333	19,5	219,5263	0,05776667	19,5	220,2868	0,0578	19,5	215,35	0,0561	19,5	217,514	0,0561
19,6	22,12445	-0,0388	19,6	204,2778	0,0529	19,6	213,0548	0,05606667	19,6	213,7701	0,0561	19,6	208,8284	0,05443333	19,6	210,9623	0,05443333
19,7	15,8906	-0,04046667	19,7	197,7515	0,0512	19,7	206,5468	0,05443333	19,7	207,2938	0,05443333	19,7	202,3212	0,0528	19,7	204,4709	0,05273334
19,8	9,661515	-0,04213334	19,8	191,2347	0,04956667	19,8	200,0348	0,05273334	19,8	200,7747	0,05276667	19,8	195,7774	0,05106667	19,8	197,9184	0,0511
19,9	3,434817	-0,04376667	19,9	184,7076	0,04786667	19,9	193,5148	0,0511	19,9	194,2341	0,0511	19,9	189,2161	0,04943334	19,9	191,3675	0,04943334
20	-2,703667	-0,04546667	20	178,1909	0,0462	20	186,9543	0,0494	20	187,6712	0,04943334	20	182,6517	0,04776667	20	184,8062	0,0478
20,1	-8,804798	-0,04596667	20,1	171,6789	0,04453333	20,1	180,4662	0,04776667	20,1	181,1131	0,04776667	20,1	176,146	0,0461	20,1	178,287	0,0461
20,15	-9,233157	-0,04593333	20,2	165,1009	0,04286667	20,2	173,9041	0,0461	20,2	174,5757	0,04613334	20,2	169,5267	0,04443333	20,2	171,7146	0,04443333
			20,3	158,4649	0,0412	20,3	167,3444	0,04446667	20,3	168,0009	0,04443333	20,3	162,9575	0,0428	20,3	165,0476	0,04276667
			20,4	151,8226	0,03956667	20,4	160,7164	0,04276667	20,4	161,4133	0,04276667	20,4	156,3446	0,0411	20,4	158,4276	0,0411
			20,5	145,1866	0,0379	20,5	154,1122	0,0411	20,5	154,7957	0,0411	20,5	149,6689	0,03943333	20,5	151,7304	0,03943333
			20,6	138,5204	0,0362	20,6	147,4365	0,0394	20,6	148,1366	0,03943333	20,6	143,0058	0,03776667	20,6	145,069	0,03776667
			20,7	131,8685	0,03453333	20,7	140,7957	0,03776667	20,7	141,4625	0,03776667	20,7	136,2832	0,0361	20,7	138,4107	0,0361
			20,8	125,192	0,03286667	20,8	134,093	0,0361	20,8	134,7931	0,0361	20,8	129,5503	0,03443334	20,8	131,6571	0,03446667
			20,9	118,4829	0,0312	20,9	127,4506	0,03443334	20,9	128,1071	0,03443334	20,9	122,8706	0,03276667	20,9	124,9743	0,03276667
			21	111,7635	0,0295	21	120,7431	0,03276667	21	121,425	0,03276667	21	116,171	0,03106667	21	118,2914	0,0311
			21,1	105,0806	0,02786667	21,1	114,0324	0,03103333	21,1	114,7493	0,0311	21,1	109,4484	0,02946667	21,1	111,5894	0,0294
			21,2	98,42793	0,0262	21,2	107,2979	0,0294	21,2	107,9822	0,02946667	21,2	102,6424	0,02776667	21,2	104,816	0,02776667
			21,3	91,80148	0,02453333	21,3	100,6269	0,02776667	21,3	101,2802	0,02776667	21,3	96,01037	0,02613333	21,3	98,1005	0,02613333
			21,4	85,1647	0,0229	21,4	93,95918	0,02613333	21,4	94,6037	0,0261	21,4	89,34657	0,0244	21,4	91,46849	0,0244
			21,5	78,60581	0,0212	21,5	87,35736	0,02443333	21,5	87,91685	0,02443333	21,5	82,70105	0,02276667	21,5	84,7888	0,0228
			21,6	72,05328	0,01953333	21,6	80,76191	0,02276667	21,6	81,31663	0,0228	21,6	76,09924	0,02113333	21,6	78,10513	0,0211
			21,7	65,51424	0,01783333	21,7	74,18951	0,0211	21,7	74,73548	0,02113333	21,7	69,54829	0,01943333	21,7	71,60187	0,01943333
			21,8	59,04277	0,0162	21,8	67,64571	0,01943333	21,8	68,21632	0,01946667	21,8	63,07523	0,0178	21,8	65,04536	0,01773333
			21,9	52,64203	0,01453333	21,9	61,18298	0,01773333	21,9	61,69478	0,01773333	21,9	56,60931	0,01606667	21,9	58,55481	0,01603333
			22	46,23334	0,01283333	22	54,7115	0,01606667	22	55,21297	0,0161	22	50,13784	0,0144	22	52,09287	0,0144
			22,1	39,90889	0,01116667	22,1	48,2281	0,0144	22,1	48,76931	0,01443333	22,1	43,69338	0,01276667	22,1	45,59755	0,01276667
			22,2	33,50258	0,009566667	22,2	41,90604	0,01276667	22,2	42,33043	0,01276667	22,2	37,31251	0,0111	22,2	39,20476	0,0111
			22,3	27,1678	0,007866667	22,3	35,48384	0,01106667	22,3	35,99485	0,0111	22,3	30,91892	0,0094	22,3	32,8358	0,009433334
			22,4	20,89103	0,006233334	22,4	29,11965	0,009433334	22,4	29,59093	0,009433334	22,4	24,52612	0,0078	22,4	26,40486	0,007733333
			22,5	14,56022	0,0045	22,5	22,76739	0,007766667	22,5	23,20448	0,007766667	22,5	18,20246	0,006066667	22,5	20,03749	0,0061
			22,6	8,284251	0,002866667	22,6	16,4628	0,0061	22,6	16,91898	0,006133333	22,6	11,92729	0,004433333	22,6	13,74324	0,004433333
			22,7	1,973311	0,0012	22,7	10,18047	0,004433333	22,7	10,58658	0,004433333	22,7	5,644163	0,002766667	22,7	7,473628	0,002766667
			22,8	-4,181862	-6,666667E-05	22,8	3,923575	0,002766667	22,8	4,298687	0,002766667	22,8	-0,6214778	0,0011	22,8	1,227856	0,0011
			22,9	-10,16537	-0,0001	22,9	-2,301534	0,0011	22,9	-2,010663	0,0011	22,9	-6,845792	0,0007	22,9	-5,028248	-0,0001333333
						23	-8,454323	0,0007	23	-8,181731	0,0007	22,95	-9,67582	0,0007	23	-10,9299	-0,0001333333
						23,05	-11,25972	0,0007	23,05	-10,99984	0,0007						
