41.7мм @1мм/мин			9.8мм @1мм/мин			6.0мм @1мм/мин			6.0мм @3мм/мин		
Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход
сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм
140,1	4796,288	2,334933	140,1	134,3671	2,334967	140,1	34,40221	2,334967	140,1	110,0636	6,8515
140,2	4800,801	2,336633	140,2	134,5094	2,336633	140,2	34,41334	2,336667	140,2	110,1263	6,856467
140,3	4805,423	2,338333	140,3	134,6191	2,338267	140,3	34,44592	2,3383	140,3	110,1828	6,861434
140,4	4809,891	2,34	140,4	134,7645	2,339933	140,4	34,47294	2,339967	140,4	110,2479	6,866467
140,5	4814,197	2,3416	140,5	134,8956	2,3416	140,5	34,52142	2,341633	140,5	110,3417	6,8714
140,6	4818,524	2,343233	140,6	135,0315	2,343267	140,6	34,51109	2,3433	140,6	110,4132	6,8764
140,7	4823,027	2,344933	140,7	135,169	2,344967	140,7	34,54844	2,344967	140,7	110,5014	6,8815
140,8	4827,426	2,346567	140,8	135,2771	2,3466	140,8	34,58897	2,346633	140,8	110,5618	6,886434
140,9	4831,864	2,348267	140,9	135,4289	2,348267	140,9	34,63348	2,3483	140,9	110,6199	6,891433
141	4836,579	2,349967	141	135,5656	2,349933	141	34,61838	2,349967	141	110,7152	6,8965
141,1	4841,135	2,3517	141,1	135,6713	2,3516	141,1	34,67639	2,351633	141,1	110,782	6,901467
141,2	4845,26	2,3533	141,2	135,8104	2,353267	141,2	34,69865	2,353333	141,2	110,8273	6,9064
141,3	4849,563	2,354933	141,3	135,932	2,354933	141,3	34,72169	2,355	141,3	110,9227	6,911467
141,4	4853,908	2,3566	141,4	136,0782	2,3566	141,4	34,74553	2,356633	141,4	110,9767	6,916433
141,5	4858,091	2,3583	141,5	136,2213	2,358267	141,5	34,76858	2,3583	141,5	111,0554	6,921467
141,6	4862,587	2,359967	141,6	136,3293	2,359933	141,6	34,81547	2,359967	141,6	111,1301	6,9264
141,7	4866,898	2,361633	141,7	136,4557	2,3616	141,7	34,83852	2,361633	141,7	111,2191	6,9314
141,8	4871,355	2,363333	141,8	136,5805	2,363267	141,8	34,86951	2,3633	141,8	111,2819	6,9365
141,9	4875,707	2,365033	141,9	136,6901	2,364933	141,9	34,90527	2,364967	141,9	111,3455	6,9414
142	4879,912	2,366667	142	136,8213	2,366567	142	34,90607	2,366667	142	111,4281	6,9464
142,1	4884,06	2,3683	142,1	136,9333	2,368267	142,1	34,95693	2,3683	142,1	111,5163	6,951467
142,2	4887,958	2,3699	142,2	137,0589	2,3699	142,2	34,98236	2,369967	142,2	111,6109	6,9564
142,3	4892,237	2,3716	142,3	137,1686	2,371567	142,3	34,99349	2,371633	142,3	111,653	6,961433
142,4	4896,353	2,373267	142,4	137,2735	2,3733	142,4	35,03959	2,373333	142,4	111,738	6,966467
142,5	4900,614	2,374933	142,5	137,3665	2,374967	142,5	35,0666	2,375	142,5	111,808	6,9714
142,6	4904,741	2,3766	142,6	137,4698	2,376567	142,6	35,08012	2,376633	142,6	111,9002	6,9765
142,7	4908,869	2,378333	142,7	137,5683	2,378267	142,7	35,10952	2,3783	142,7	111,9431	6,981433
142,8	4912,976	2,38	142,8	137,6581	2,379933	142,8	35,16197	2,379967	142,8	112,0138	6,986467
142,9	4916,963	2,381633	142,9	137,7726	2,381633	142,9	35,17072	2,381633	142,9	112,1147	6,991467
143	4920,949	2,3833	143	137,8965	2,383267	143	35,21522	2,3833	143	112,1799	6,996433
143,1	4925,008	2,384967	143,1	138,0165	2,384967	143,1	35,2486	2,384967	143,1	112,2522	7,001433
143,2	4928,904	2,3866	143,2	138,1405	2,386633	143,2	35,2486	2,386633	143,2	112,3158	7,0065
143,3	4932,968	2,388267	143,3	138,2565	2,3883	143,3	35,28992	2,3883	143,3	112,3873	7,0114
143,4	4936,681	2,389967	143,4	138,4075	2,389967	143,4	35,32727	2,389967	143,4	112,4763	7,0164
143,5	4940,765	2,391633	143,5	138,5021	2,3916	143,5	35,35032	2,391633	143,5	112,5439	7,021467
143,6	4944,35	2,393333	143,6	138,6166	2,3933	143,6	35,37734	2,3933	143,6	112,6234	7,026433
143,7	4947,878	2,395	143,7	138,7556	2,3949	143,7	35,40754	2,395	143,7	112,6989	7,031434
143,8	4918,214	2,396567	143,8	138,8836	2,396567	143,8	35,43536	2,396633	143,8	112,7815	7,036433
143,9	4922,455	2,398233	143,9	138,975	2,398267	143,9	35,45523	2,3983	143,9	112,8586	7,041433
144	4927,158	2,399933	144	139,0878	2,399967	144	35,48384	2,399967	144	112,9373	7,0465
144,1	4931,81	2,401633	144,1	139,242	2,4016	144,1	35,51086	2,401667	144,1	112,9961	7,051434
144,2	4936,323	2,403233	144,2	139,3684	2,4033	144,2	35,53231	2,4033	144,2	113,0509	7,056433
144,3	4940,767	2,404933	144,3	139,5003	2,4049	144,3	35,56331	2,404967	144,3	113,1439	7,0615
144,4	4945,357	2,406633	144,4	139,6108	2,4066	144,4	35,59192	2,4067	144,4	113,2139	7,066467
144,5	4949,664	2,4083	144,5	139,7268	2,408267	144,5	35,6253	2,4083	144,5	113,2902	7,071434
144,6	4953,657	2,409967	144,6	139,8595	2,409933	144,6	35,66027	2,409967	144,6	113,3633	7,076467
144,7	4957,984	2,4116	144,7	139,9652	2,411633	144,7	35,70954	2,411633	144,7	113,4316	7,0814
144,8	4962,238	2,413233	144,8	140,0868	2,413267	144,8	35,72464	2,4133	144,8	113,5214	7,0864
144,9	4966,493	2,414967	144,9	140,2195	2,414933	144,9	35,75643	2,415	144,9	113,5818	7,091467
145	4970,665	2,416567	145	140,3419	2,416633	145	35,78345	2,416633	145	113,6438	7,096367
145,1	4974,938	2,418333	145,1	140,4683	2,418267	145,1	35,80332	2,4183	145,1	113,6986	7,101467
145,2	4979,176	2,42	145,2	140,593	2,419933	145,2	35,86133	2,42	145,2	113,7988	7,106433
145,3	4983,404	2,421633	145,3	140,7425	2,4216	145,3	35,85418	2,421633	145,3	113,8512	7,111434
145,4	4987,487	2,4233	145,4	140,8474	2,4233	145,4	35,89233	2,423333	145,4	113,9164	7,116434
145,5	4991,542	2,424933	145,5	140,9411	2,424933	145,5	35,92412	2,424967	145,5	114,0173	7,121433
145,6	4995,646	2,4266	145,6	141,081	2,4266	145,6	35,95511	2,426633	145,6	114,0912	7,1264
145,7	4999,817	2,428267	145,7	141,1923	2,4283	145,7	35,98054	2,4283	145,7	114,1453	7,131534
			145,8	141,3226	2,429933	145,8	36,01154	2,429967	145,8	114,2152	7,1364
			145,9	141,4514	2,4316	145,9	36,03935	2,431667	145,9	114,2955	7,141467
			146	141,5809	2,433267	146	36,07512	2,4333	146	114,3559	7,1465
			146,1	141,7017	2,434933	146,1	36,08624	2,434967	146,1	114,433	7,151467
			146,2	141,8304	2,4366	146,2	36,12677	2,436633	146,2	114,4751	7,156467
			146,3	141,9441	2,438233	146,3	36,15777	2,4383	146,3	114,5514	7,161433
			146,4	142,0633	2,439933	146,4	36,17604	2,439967	146,4	114,6388	7,166433
			146,5	142,2032	2,4416	146,5	36,20942	2,441633	146,5	114,704	7,171433
			146,6	142,3287	2,443267	146,6	36,22134	2,4433	146,6	114,8033	7,1764
			146,7	142,436	2,444933	146,7	36,25472	2,444967	146,7	114,8852	7,181367
			146,8	142,5529	2,4466	146,8	36,29684	2,446633	146,8	114,9599	7,1865
			146,9	142,6601	2,448267	146,9	36,31989	2,4483	146,9	115,0076	7,191433
			147	142,7841	2,449933	147	36,35486	2,449967	147	115,1101	7,196467
			147,1	142,9049	2,451567	147,1	36,37552	2,451633	147,1	115,1506	7,201467
			147,2	143,0225	2,4533	147,2	36,40969	2,4533	147,2	115,2333	7,206433
			147,3	143,1497	2,454933	147,3	36,41764	2,454933	147,3	115,3143	7,211433
			147,4	143,2824	2,4566	147,4	36,47884	2,456667	147,4	115,389	7,216467
			147,5	143,3969	2,4583	147,5	36,4995	2,4583	147,5	115,4725	7,221434
			147,6	143,5272	2,459933	147,6	36,53049	2,46	147,6	115,5408	7,226467
			147,7	143,6393	2,4616	147,7	36,54798	2,461633	147,7	115,602	7,2315
			147,8	143,7759	2,463267	147,8	36,58454	2,4633	147,8	115,6799	7,236467
			147,9	143,8991	2,4649	147,9	36,60917	2,464967	147,9	115,7411	7,2415
			148	144,0247	2,4666	148	36,63381	2,466633	148	115,7904	7,2464
			148,1	144,1606	2,468267	148,1	36,65129	2,4683	148,1	115,8675	7,2514
			148,2	144,279	2,469933	148,2	36,69421	2,469967	148,2	115,9501	7,256433
			148,3	144,4085	2,471633	148,3	36,72282	2,471633	148,3	116,0089	7,261434
			148,4	144,5373	2,473267	148,4	36,76891	2,4733	148,4	116,1051	7,266433
			148,5	144,6827	2,474967	148,5	36,78004	2,474967	148,5	116,152	7,271467
			148,6	144,8147	2,476633	148,6	36,80706	2,476633	148,6	116,2354	7,2764
			148,7	144,9299	2,478267	148,7	36,83805	2,4783	148,7	116,3022	7,281434
			148,8	145,0602	2,479933	148,8	36,84838	2,48	148,8	116,361	7,286433
			148,9	145,2017	2,481633	148,9	36,8762	2,481633	148,9	116,4484	7,2914
			149	145,3344	2,483267	149	36,90243	2,483333	149	116,5263	7,296467
			149,1	145,4528	2,484967	149,1	36,94137	2,484967	149,1	116,6073	7,301434
			149,2	145,6078	2,4866	149,2	36,97713	2,486667	149,2	116,6463	7,306433
			149,3	145,7214	2,488267	149,3	36,98826	2,4883	149,3	116,7226	7,3115
			149,4	145,8462	2,489933	149,4	37,02005	2,49	149,4	116,8013	7,316433
			149,5	145,9781	2,4916	149,5	37,05502	2,491667	149,5	116,8688	7,321467
			149,6	146,0989	2,4933	149,6	37,0868	2,493333	149,6	116,9197	7,3265
			149,7	146,2388	2,494933	149,7	37,11224	2,495	149,7	116,9944	7,3314
			149,8	146,3866	2,4966	149,8	37,13369	2,496667	149,8	117,0683	7,336433
			149,9	146,5082	2,4983	149,9	37,17899	2,498333	149,9	117,1446	7,341467
			150	146,6362	2,499933	150	37,18774	2,499967	150	117,2121	7,3464
			150,1	146,7633	2,501633	150,1	37,23065	2,501633	150,1	117,2741	7,351467
			150,2	146,9048	2,503267	150,2	37,27039	2,5033	150,2	117,3425	7,356433
			150,3	147,0311	2,504967	150,3	37,2839	2,504967	150,3	117,4092	7,361467
			150,4	147,1766	2,5066	150,4	37,3435	2,506667	150,4	117,4974	7,366467
			150,5	147,2926	2,508267	150,5	37,3745	2,5083	150,5	117,5594	7,3714
			150,6	147,4237	2,5099	150,6	37,38721	2,51	150,6	117,631	7,3764
			150,7	147,5533	2,511633	150,7	37,4198	2,511633	150,7	117,6993	7,381467
			150,8	147,6796	2,5133	150,8	37,44841	2,5133	150,8	117,7645	7,3864
			150,9	147,8004	2,514967	150,9	37,47463	2,514967	150,9	117,8026	7,391467
			151	147,93	2,5166	151	37,50245	2,516667	151	117,8201	7,3965
			151,1	148,0524	2,5183	151,1	37,53821	2,5183	151,1	117,7756	7,401467
			151,2	148,1954	2,519933	151,2	37,55808	2,519967	151,2	117,8964	7,406434
			151,3	148,3361	2,5216	151,3	37,59146	2,521667	151,3	118,0132	7,411433
			151,4	148,472	2,523267	151,4	37,61927	2,523333	151,4	118,1293	7,4164
			151,5	148,5904	2,524933	151,5	37,61609	2,524967	151,5	118,2222	7,421467
			151,6	148,7295	2,526633	151,6	37,67093	2,526633	151,6	118,3407	7,4264
			151,7	148,867	2,528267	151,7	37,69715	2,5283	151,7	118,4106	7,4314
			151,8	148,9806	2,5299	151,8	37,71782	2,529967	151,8	118,4893	7,4365
			151,9	149,1109	2,5316	151,9	37,74643	2,531667	151,9	118,5966	7,441467
			152	149,2437	2,533267	152	37,76233	2,5333	152	118,6959	7,446467
			152,1	149,3422	2,534933	152,1	37,77822	2,535	152,1	118,7881	7,451433
			152,2	149,4948	2,5366	152,2	37,82352	2,536667	152,2	118,8993	7,4564
			152,3	149,6275	2,5383	152,3	37,86166	2,5383	152,3	118,9741	7,461433
			152,4	149,742	2,539933	152,4	37,87041	2,539967	152,4	119,048	7,466467
			152,5	149,8858	2,5416	152,5	37,90458	2,541633	152,5	119,1203	7,471434
			152,6	150,0154	2,543267	152,6	37,91491	2,543333	152,6	119,1743	7,4765
			152,7	150,1616	2,544933	152,7	37,95385	2,544967	152,7	119,2252	7,481467
			152,8	150,276	2,5466	152,8	37,99836	2,546667	152,8	119,2753	7,4864
			152,9	150,4056	2,548233	152,9	38,02697	2,5483	152,9	119,3396	7,491467
			153	150,5431	2,549933	153	38,04604	2,55	153	119,4342	7,4964
			153,1	150,6885	2,5516	153,1	38,08975	2,551633	153,1	119,5168	7,5014
			153,2	150,799	2,553267	153,2	38,09055	2,553333	153,2	119,6043	7,506467
			153,3	150,9261	2,5549	153,3	38,12551	2,554967	153,3	119,6885	7,5114
			153,4	151,0485	2,5566	153,4	38,16843	2,5566	153,4	119,7592	7,5164
			153,5	151,19	2,558267	153,5	38,17797	2,5583	153,5	119,8451	7,521467
			153,6	151,333	2,559933	153,6	38,18909	2,559967	153,6	119,95	7,526433
			153,7	151,4522	2,561633	153,7	38,22963	2,561667	153,7	120,0382	7,531434
			153,8	151,5873	2,563267	153,8	38,27254	2,563333	153,8	120,1208	7,536433
			153,9	151,7018	2,564967	153,9	38,29002	2,565	153,9	120,2043	7,541433
			154	151,8273	2,5666	154	38,31069	2,5666	154	120,3028	7,546467
			154,1	151,9227	2,5683	154,1	38,35519	2,5683	154,1	120,3664	7,551467
			154,2	152,0713	2,569933	154,2	38,3997	2,569967	154,2	120,4507	7,556433
			154,3	152,1945	2,571567	154,3	38,42036	2,571633	154,3	120,5325	7,5615
			154,4	152,293	2,5733	154,4	38,43307	2,573333	154,4	120,6215	7,5665
			154,5	152,421	2,574933	154,5	38,45851	2,574967	154,5	120,6756	7,571434
			154,6	152,5497	2,5766	154,6	38,49665	2,576633	154,6	120,7121	7,576433
			154,7	152,6729	2,5783	154,7	38,50301	2,578333	154,7	120,7137	7,581433
			154,8	152,7897	2,579933	154,8	38,52606	2,58	154,8	120,7654	7,586433
			154,9	152,9137	2,581633	154,9	38,56182	2,581633	154,9	120,8099	7,591434
			155	153,0417	2,583267	155	38,5658	2,583333	155	120,8727	7,596334
			155,1	153,1283	2,584967	155,1	38,61825	2,584967	155,1	120,9267	7,601467
			155,2	153,2276	2,5866	155,2	38,60871	2,586633	155,2	120,9927	7,6064
			155,3	153,319	2,588267	155,3	38,64845	2,5883	155,3	121,0841	7,611434
			155,4	153,416	2,589967	155,4	38,66911	2,589967	155,4	121,1071	7,616434
			155,5	153,4971	2,591633	155,5	38,68898	2,591667	155,5	121,1802	7,6214
			155,6	153,6202	2,593267	155,6	38,71441	2,5933	155,6	121,2351	7,6264
			155,7	153,7124	2,594967	155,7	38,73269	2,594967	155,7	121,2978	7,6315
			155,8	153,838	2,5966	155,8	38,77004	2,596633	155,8	121,3487	7,636434
			155,9	153,935	2,5983	155,9	38,80421	2,5983	155,9	121,4163	7,641467
			156	154,0446	2,599933	156	38,82249	2,599967	156	121,4957	7,646567
			156,1	154,1829	2,6016	156,1	38,85746	2,601667	156,1	121,5196	7,651467
			156,2	154,3045	2,6033	156,2	38,85984	2,6033	156,2	121,5879	7,656467
			156,3	154,4189	2,604933	156,3	38,90991	2,604967	156,3	121,6388	7,661433
			156,4	154,5644	2,6066	156,4	38,93693	2,606667	156,4	121,7373	7,6664
			156,5	154,6709	2,608267	156,5	38,97031	2,608333	156,5	121,7763	7,671433
			156,6	154,7933	2,609933	156,6	38,97429	2,609967	156,6	121,8494	7,676467
			156,7	154,922	2,6116	156,7	39,02833	2,611633	156,7	121,9201	7,6814
			156,8	155,0452	2,613267	156,8	39,0331	2,6133	156,8	121,9805	7,6865
			156,9	155,1485	2,614933	156,9	39,06171	2,614967	156,9	122,025	7,691467
			157	155,2693	2,616567	157	39,08873	2,616633	157	122,1053	7,696467
			157,1	155,4155	2,618267	157,1	39,11416	2,618367	157,1	122,1506	7,701433
			157,2	155,5165	2,619933	157,2	39,15628	2,619967	157,2	122,2316	7,7064
			157,3	155,642	2,621633	157,3	39,17933	2,621633	157,3	122,3365	7,711467
			157,4	155,7541	2,623267	157,4	39,20634	2,623333	157,4	122,4208	7,716467
			157,5	155,8916	2,624967	157,5	39,24131	2,624967	157,5	122,5098	7,721434
			157,6	156,0235	2,6266	157,6	39,24767	2,626667	157,6	122,5662	7,726467
			157,7	156,1181	2,6283	157,7	39,29377	2,6283	157,7	122,6735	7,731467
			157,8	156,2587	2,629933	157,8	39,3184	2,63	157,8	122,745	7,736434
			157,9	156,3803	2,6316	157,9	39,32238	2,631633	157,9	122,8404	7,7415
			158	156,5154	2,633267	158	39,36768	2,6333	158	122,9382	7,746433
			158,1	156,6291	2,634933	158,1	39,40105	2,634967	158,1	123,02	7,751433
			158,2	156,7602	2,6366	158,2	39,43205	2,636633	158,2	123,1074	7,756467
			158,3	156,8723	2,6383	158,3	39,45192	2,6383	158,3	123,1996	7,7614
			158,4	156,9939	2,639933	158,4	39,48132	2,639967	158,4	123,2537	7,7664
			158,5	157,1051	2,6416	158,5	39,50675	2,641633	158,5	123,3276	7,7715
			158,6	157,2537	2,643267	158,6	39,54172	2,643333	158,6	123,4063	7,776467
			158,7	157,361	2,644933	158,7	39,56874	2,644967	158,7	123,4667	7,781467
			158,8	157,4937	2,6466	158,8	39,58543	2,646667	158,8	123,5112	7,786467
			158,9	157,6201	2,648267	158,9	39,60769	2,648333	158,9	123,5612	7,791433
			159	157,7433	2,6499	159	39,6347	2,649967	159	123,597	7,796467
			159,1	157,8466	2,651633	159,1	39,66172	2,651633	159,1	123,6661	7,801467
			159,2	158,0071	2,6533	159,2	39,67524	2,653333	159,2	123,7154	7,806433
			159,3	158,1089	2,6549	159,3	39,71338	2,654967	159,3	123,7901	7,811533
			159,4	158,2344	2,6566	159,4	39,76504	2,656633	159,4	123,8386	7,816433
			159,5	158,3648	2,658267	159,5	39,77617	2,6583	159,5	123,9022	7,821434
			159,6	158,4903	2,659933	159,6	39,80319	2,66	159,6	123,9697	7,826467
			159,7	158,6072	2,6616	159,7	39,8318	2,6617	159,7	124,0277	7,831433
			159,8	158,7502	2,6633	159,8	39,86756	2,663367	159,8	124,0635	7,836367
			159,9	158,8519	2,664967	159,9	39,87233	2,665	159,9	124,1438	7,841467
			160	158,9505	2,666633	160	39,92398	2,666633	160	124,2121	7,846367
			160,1	159,1007	2,668267	160,1	39,92875	2,668333	160,1	124,259	7,851433
			160,2	159,2485	2,669933	160,2	39,97723	2,669967	160,2	124,3305	7,856467
			160,3	159,3701	2,6716	160,3	40,00266	2,671633	160,3	124,3695	7,8614
			160,4	159,4758	2,673267	160,4	40,04081	2,6733	160,4	124,4314	7,866467
			160,5	159,6077	2,674967	160,5	40,06147	2,675	160,5	124,503	7,8714
			160,6	159,7587	2,6766	160,6	40,07816	2,676633	160,6	124,5777	7,8764
			160,7	159,8708	2,6783	160,7	40,1171	2,6783	160,7	124,6158	7,8815
			160,8	160,0051	2,679967	160,8	40,14651	2,679967	160,8	124,681	7,886467
			160,9	160,1378	2,6816	160,9	40,17751	2,681633	160,9	124,7342	7,891433
			161	160,2697	2,6833	161	40,20055	2,6833	161	124,77	7,896467
			161,1	160,3866	2,684933	161,1	40,23552	2,684967	161,1	124,8463	7,901467
			161,2	160,5304	2,686567	161,2	40,26095	2,686633	161,2	124,9059	7,906434
			161,3	160,6377	2,688267	161,3	40,28479	2,688333	161,3	125,006	7,911433
			161,4	160,7664	2,689933	161,4	40,29592	2,689967	161,4	125,072	7,9164
			161,5	160,896	2,691567	161,5	40,32294	2,691667	161,5	125,1475	7,9214
			161,6	161,0088	2,693267	161,6	40,3587	2,6933	161,6	125,2508	7,9264
			161,7	161,1431	2,694967	161,7	40,3746	2,694933	161,7	125,3184	7,931367
			161,8	161,2528	2,696567	161,8	40,40639	2,696633	161,8	125,4177	7,936467
			161,9	161,3895	2,698267	161,9	40,43102	2,6983	161,9	125,4829	7,941433
			162	161,5294	2,6999	162	40,46917	2,699967	162	125,5616	7,9464
			162,1	161,6414	2,7016	162,1	40,49619	2,701633	162,1	125,6355	7,951467
			162,2	161,7583	2,703233	162,2	40,50732	2,7033	162,2	125,7022	7,9564
			162,3	161,9204	2,7049	162,3	40,54785	2,704967	162,3	125,7428	7,961467
			162,4	162,0412	2,7066	162,4	40,59553	2,706667	162,4	125,8214	7,966467
			162,5	162,158	2,7083	162,5	40,6146	2,7083	162,5	125,8755	7,971467
			162,6	162,2828	2,709967	162,6	40,64162	2,709967	162,6	125,9693	7,9765
			162,7	162,4068	2,7116	162,7	40,66388	2,711633	162,7	126,0432	7,9815
			162,8	162,5482	2,7133	162,8	40,70203	2,7133	162,8	126,129	7,986434
			162,9	162,6515	2,7149	162,9	40,73222	2,715	162,9	126,2005	7,9915
			163	162,7922	2,7166	163	40,74097	2,716633	163	126,315	7,9964
			163,1	162,9186	2,718267	163,1	40,78547	2,7183	163,1	126,3849	8,001433
			163,2	163,0441	2,719933	163,2	40,82441	2,719967	163,2	126,4763	8,006467
			163,3	163,1626	2,7216	163,3	40,84905	2,721633	163,3	126,5661	8,0114
			163,4	163,2825	2,723267	163,4	40,86892	2,723333	163,4	126,6392	8,0164
			163,5	163,4057	2,7249	163,5	40,90707	2,724967	163,5	126,7489	8,021467
			163,6	163,5448	2,7266	163,6	40,92216	2,726633	163,6	126,8188	8,026433
			163,7	163,6815	2,728267	163,7	40,96985	2,728333	163,7	126,8872	8,031466
			163,8	163,8047	2,7299	163,8	41,00323	2,729967	163,8	126,9658	8,036433
			163,9	163,9112	2,7316	163,9	41,02548	2,731667	163,9	127,0358	8,041367
			164	164,0701	2,733267	164	41,05886	2,7333	164	127,0882	8,0465
			164,1	164,1997	2,734933	164,1	41,08191	2,735	164,1	127,1208	8,051467
			164,2	164,3411	2,736667	164,2	41,09383	2,736633	164,2	127,128	8,056434
			164,3	164,4556	2,738267	164,3	41,13515	2,7383	164,3	127,1526	8,061434
			164,4	164,597	2,739967	164,4	41,15899	2,739967	164,4	127,1836	8,066433
			164,5	164,721	2,7416	164,5	41,1876	2,741633	164,5	127,2472	8,071433
			164,6	164,8331	2,7433	164,6	41,20747	2,743333	164,6	127,2964	8,076467
			164,7	164,9586	2,744967	164,7	41,22496	2,744967	164,7	127,3545	8,0814
			164,8	165,0906	2,746633	164,8	41,27105	2,746667	164,8	127,3855	8,086467
			164,9	165,2344	2,748267	164,9	41,29728	2,7483	164,9	127,4761	8,091434
			165	165,3512	2,749967	165	41,31794	2,75	165	127,5317	8,096367
			165,1	165,4689	2,751633	165,1	41,34655	2,751633	165,1	127,5921	8,101434
			165,2	165,6055	2,753267	165,2	41,37834	2,7533	165,2	127,6326	8,1064
			165,3	165,7311	2,754967	165,3	41,40139	2,755033	165,3	127,6684	8,111433
			165,4	165,8495	2,7566	165,4	41,43238	2,7567	165,4	127,7455	8,116433
			165,5	165,9687	2,758267	165,5	41,46735	2,7583	165,5	127,8122	8,1214
			165,6	166,103	2,759933	165,6	41,47291	2,759967	165,6	127,8488	8,1264
			165,7	166,2374	2,7616	165,7	41,53569	2,761633	165,7	127,8893	8,131467
			165,8	166,355	2,7633	165,8	41,54921	2,7633	165,8	127,9267	8,1364
			165,9	166,4877	2,764933	165,9	41,56033	2,764967	165,9	127,9855	8,141467
			166	166,6021	2,7666	166	41,60484	2,766633	166	128,0713	8,146467
			166,1	166,7388	2,768267	166,1	41,65252	2,7683	166,1	128,1587	8,151466
			166,2	166,8668	2,769933	166,2	41,65808	2,769967	166,2	128,2326	8,156433
			166,3	166,9987	2,7716	166,3	41,67001	2,771633	166,3	128,3352	8,161467
			166,4	167,1266	2,773267	166,4	41,70974	2,7733	166,4	128,4075	8,166433
			166,5	167,261	2,774933	166,5	41,73676	2,774967	166,5	128,4997	8,171467
			166,6	167,3977	2,7766	166,6	41,7908	2,7766	166,6	128,5664	8,1764
			166,7	167,5105	2,7783	166,7	41,78842	2,778333	166,7	128,653	8,1814
			166,8	167,6297	2,779933	166,8	41,84484	2,779967	166,8	128,7556	8,186467
			166,9	167,7545	2,7816	166,9	41,85597	2,781633	166,9	128,8168	8,191433
			167	167,8793	2,783233	167	41,86233	2,7833	167	128,9058	8,196466
			167,1	168,0223	2,7849	167,1	41,8965	2,784967	167,1	128,9606	8,201467
			167,2	168,1503	2,786567	167,2	41,94816	2,7867	167,2	129,0679	8,2064
			167,3	168,2782	2,788233	167,3	41,97598	2,7883	167,3	129,1378	8,211433
			167,4	168,4022	2,789967	167,4	41,99028	2,789967	167,4	129,2165	8,216467
			167,5	168,5476	2,791633	167,5	42,01174	2,791633	167,5	129,3039	8,221434
			167,6	168,6756	2,793233	167,6	42,0332	2,7933	167,6	129,3667	8,226501
			167,7	168,794	2,7949	167,7	42,05386	2,795	167,7	129,4557	8,231466
			167,8	168,9243	2,796633	167,8	42,08088	2,796667	167,8	129,5161	8,236433
			167,9	169,0777	2,7983	167,9	42,11505	2,798333	167,9	129,6091	8,241467
			168	169,2009	2,799933	168	42,14366	2,799967	168	129,6759	8,246433
			168,1	169,3217	2,8016	168,1	42,17307	2,801633	168,1	129,7935	8,2514
			168,2	169,4322	2,803233	168,2	42,20486	2,8033	168,2	129,838	8,256433
			168,3	169,5728	2,804933	168,3	42,22711	2,804967	168,3	129,9	8,2614
			168,4	169,7103	2,8066	168,4	42,24857	2,806633	168,4	129,9763	8,266367
			168,5	169,8224	2,8083	168,5	42,26923	2,8083	168,5	130,0351	8,271467
			168,6	169,9615	2,809933	168,6	42,29625	2,809967	168,6	130,074	8,276466
			168,7	170,0664	2,811633	168,7	42,34393	2,811667	168,7	130,0915	8,281433
			168,8	170,1864	2,813267	168,8	42,37254	2,813333	168,8	130,1233	8,2864
			168,9	170,3207	2,814933	168,9	42,39003	2,814967	168,9	130,1718	8,2914
			169	170,4438	2,8166	169	42,41943	2,816633	169	130,2258	8,296467
			169,1	170,5917	2,818267	169,1	42,43692	2,8183	169,1	130,2663	8,301467
			169,2	170,7244	2,819933	169,2	42,4695	2,819967	169,2	130,3093	8,3064
			169,3	170,8476	2,8216	169,3	42,49573	2,821633	169,3	130,3816	8,311467
			169,4	170,9493	2,8233	169,4	42,52275	2,8233	169,4	130,4324	8,316466
			169,5	171,0852	2,824933	169,5	42,54262	2,825	169,5	130,4865	8,321433
			169,6	171,2076	2,8266	169,6	42,54262	2,826633	169,6	130,531	8,326467
			169,7	171,3371	2,8283	169,7	42,58156	2,8283	169,7	130,5612	8,331433
			169,8	171,4651	2,829933	169,8	42,59189	2,829967	169,8	130,6295	8,336433
			169,9	171,5859	2,831633	169,9	42,61017	2,831667	169,9	130,6844	8,3414
			170	171,7075	2,8333	170	42,63957	2,8333	170	130,7178	8,3464
			170,1	171,8243	2,835	170,1	42,65149	2,835	170,1	130,7845	8,351467
			170,2	171,965	2,836633	170,2	42,68964	2,836633	170,2	130,8258	8,3564
			170,3	172,085	2,838267	170,3	42,72938	2,8383	170,3	130,8664	8,361433
			170,4	172,2264	2,839933	170,4	42,75004	2,839967	170,4	130,9244	8,366467
			170,5	172,3488	2,841633	170,5	42,74924	2,841633	170,5	131,0182	8,3714
			170,6	172,4736	2,843233	170,6	42,81044	2,8433	170,6	131,0945	8,3764
			170,7	172,6031	2,844933	170,7	42,82554	2,844967	170,7	131,1652	8,3815
			170,8	172,7374	2,8466	170,8	42,87004	2,846633	170,8	131,2296	8,3864
			170,9	172,8638	2,848267	170,9	42,88594	2,8483	170,9	131,3043	8,3915
			171	172,9965	2,849933	171	42,89389	2,85	171	131,3821	8,396533
			171,1	173,103	2,8516	171,1	42,93839	2,851633	171,1	131,4592	8,401466
			171,2	173,254	2,853267	171,2	42,9678	2,8533	171,2	131,5506	8,406433
