"1 _ 1 +23",,,"1 _ 1 _10",,,"1 _ 2 +35",,
"Время","Сила","Ход","Время","Сила","Ход","Время","Сила","Ход"
"сек","Н","мм","сек","Н","мм","сек","Н","мм"
"12,89","29,52337","12,87823","12,89","26,49784","12,8785","12,89","28,59195","12,87807"
"12,9","29,5496","12,8882","12,9","26,5193","12,88823","12,9","28,61897","12,88837"
"12,91","29,57503","12,89827","12,91","26,52248","12,89797","12,91","28,64838","12,89853"
"12,92","29,59013","12,90847","12,92","26,52486","12,90797","12,92","28,66825","12,90867"
"12,93","29,59887","12,91857","12,93","26,54394","12,9182","12,93","28,67619","12,9186"
"12,94","29,61","12,92853","12,94","26,5797","12,9285","12,94","28,67619","12,92833"
"12,95","29,62828","12,9383","12,95","26,60751","12,93867","12,95","28,67699","12,9381"
"12,96","29,64655","12,9481","12,96","26,61467","12,94877","12,96","28,6897","12,948"
"12,97","29,66245","12,95803","12,97","26,61228","12,95863","12,97","28,71037","12,95807"
"12,98","29,68073","12,96803","12,98","26,62261","12,96837","12,98","28,735","12,96833"
"12,99","29,70695","12,97803","12,99","26,64725","12,97797","12,99","28,75566","12,97853"
"13","29,73159","12,98833","13","26,67507","12,9878","13","28,77394","12,98867"
"13,01","29,75225","12,99853","13,01","26,69414","12,99793","13,01","28,79381","12,99863"
"13,02","29,77292","13,0086","13,02","26,70447","13,00823","13,02","28,82004","13,0084"
"13,03","29,79279","13,01853","13,03","26,71719","13,0184","13,03","28,84944","13,01817"
"13,04","29,8063","13,0284","13,04","26,73546","13,02853","13,04","28,86772","13,02797"
"13,05","29,81265","13,03837","13,05","26,75772","13,03857","13,05","28,87885","13,03803"
"13,06","29,81981","13,0483","13,06","26,77361","13,04843","13,06","28,89395","13,04833"
"13,07","29,83809","13,0582","13,07","26,78076","13,0582","13,07","28,91938","13,0586"
"13,08","29,85954","13,06827","13,08","26,78076","13,06807","13,08","28,94402","13,06873"
"13,09","29,87544","13,07847","13,09","26,78474","13,0781","13,09","28,95594","13,07887"
"13,1","29,88895","13,08863","13,1","26,80222","13,08833","13,1","28,9615","13,08867"
"13,11","29,9112","13,09863","13,11","26,83163","13,09847","13,11","28,97342","13,09833"
"13,12","29,93584","13,1085","13,12","26,85626","13,1086","13,12","28,99726","13,108"
"13,13","29,9565","13,1183","13,13","26,86819","13,11863","13,13","29,01872","13,11793"
"13,14","29,97001","13,1282","13,14","26,87613","13,12857","13,14","29,03144","13,1281"
"13,15","29,98511","13,1382","13,15","26,88964","13,13833","13,15","29,04018","13,13843"
"13,16","30,00418","13,14827","13,16","26,91507","13,14807","13,16","29,05687","13,1486"
"13,17","30,02802","13,15853","13,17","26,94368","13,15803","13,17","29,08309","13,15873"
"13,18","30,05107","13,1687","13,18","26,96037","13,16827","13,18","29,10852","13,1687"
"13,19","30,07015","13,17867","13,19","26,97071","13,17857","13,19","29,1276","13,17847"
"13,2","30,08922","13,1884","13,2","26,98819","13,1887","13,2","29,13634","13,18817"
"13,21","30,10909","13,19823","13,21","27,01521","13,1988","13,21","29,14111","13,198"
"13,22","30,12896","13,20817","13,22","27,03826","13,2087","13,22","29,15224","13,20807"
"13,23","30,14326","13,21813","13,23","27,04779","13,21833","13,23","29,1729","13,21837"
"13,24","30,15995","13,22813","13,24","27,04779","13,228","13,24","29,19594","13,22853"
"13,25","30,18061","13,2384","13,25","27,05892","13,2379","13,25","29,21502","13,23863"
"13,26","30,20525","13,24863","13,26","27,08117","13,248","13,26","29,2333","13,2487"
"13,27","30,22353","13,2587","13,27","27,10581","13,25827","13,27","29,25793","13,2585"
"13,28","30,23306","13,26863","13,28","27,12409","13,2685","13,28","29,28734","13,26823"
"13,29","30,24101","13,27847","13,29","27,13283","13,27863","13,29","29,31038","13,27803"
"13,3","30,25452","13,28827","13,3","27,13919","13,28867","13,3","29,32151","13,28807"
"13,31","30,27678","13,29817","13,31","27,14793","13,29847","13,31","29,32549","13,2983"
"13,32","30,30459","13,3081","13,32","27,16462","13,30817","13,32","29,33264","13,30853"
"13,33","30,32923","13,31827","13,33","27,18687","13,31797","13,33","29,35251","13,31863"
"13,34","30,34433","13,32853","13,34","27,20197","13,32803","13,34","29,37555","13,32867"
"13,35","30,35545","13,33863","13,35","27,2131","13,33837","13,35","29,39304","13,33853"
"13,36","30,37135","13,3486","13,36","27,23058","13,3486","13,36","29,40575","13,34823"
"13,37","30,3936","13,3584","13,37","27,25124","13,35863","13,37","29,42006","13,35793"
"13,38","30,40949","13,36817","13,38","27,26714","13,3687","13,38","29,44072","13,36793"
"13,39","30,41903","13,37807","13,39","27,27667","13,3786","13,39","29,46536","13,3781"
"13,4","30,43254","13,38807","13,4","27,28939","13,38827","13,4","29,48761","13,3884"
"13,41","30,45638","13,39817","13,41","27,30608","13,398","13,41","29,50509","13,39857"
"13,42","30,48579","13,4084","13,42","27,32595","13,40797","13,42","29,51702","13,4087"
"13,43","30,51361","13,41857","13,43","27,3482","13,41817","13,43","29,53211","13,41863"
"13,44","30,53268","13,42857","13,44","27,37045","13,4284","13,44","29,55437","13,42833"
"13,45","30,53983","13,4384","13,45","27,38873","13,43853","13,45","29,57741","13,4381"
"13,46","30,54937","13,44827","13,46","27,39986","13,44867","13,46","29,59331","13,44803"
"13,47","30,57639","13,4582","13,47","27,4086","13,45867","13,47","29,60205","13,45813"
"13,48","30,61374","13,46813","13,48","27,41973","13,46837","13,48","29,61318","13,46843"
"13,49","30,63679","13,4781","13,49","27,43165","13,478","13,49","29,63305","13,4786"
"13,5","30,64553","13,48833","13,5","27,44913","13,48787","13,5","29,65768","13,4887"
"13,51","30,65427","13,49857","13,51","27,46741","13,49797","13,51","29,67834","13,49867"
"13,52","30,67652","13,5086","13,52","27,48728","13,50827","13,52","29,68947","13,50843"
"13,53","30,70672","13,51857","13,53","27,50794","13,5185","13,53","29,6998","13,51813"
"13,54","30,73295","13,52843","13,54","27,52701","13,52867","13,54","29,71808","13,5279"
"13,55","30,75043","13,53827","13,55","27,53655","13,5387","13,55","29,74272","13,53793"
"13,56","30,76394","13,54817","13,56","27,53893","13,54847","13,56","29,76974","13,5481"
"13,57","30,7854","13,55807","13,57","27,54132","13,55817","13,57","29,78961","13,55837"
"13,58","30,81401","13,56817","13,58","27,55165","13,56797","13,58","29,79994","13,56853"
"13,59","30,83865","13,57843","13,59","27,57231","13,57797","13,59","29,80312","13,57873"
"13,6","30,85136","13,58853","13,6","27,59695","13,58827","13,6","29,80868","13,58863"
"13,61","30,85931","13,59853","13,61","27,62","13,59853","13,61","29,82219","13,59837"
"13,62","30,87044","13,6084","13,62","27,64145","13,60867","13,62","29,83809","13,608"
"13,63","30,89428","13,61823","13,63","27,66053","13,61873","13,63","29,85319","13,6179"
"13,64","30,92607","13,6282","13,64","27,68199","13,62853","13,64","29,86431","13,6281"
"13,65","30,9515","13,6382","13,65","27,70027","13,6382","13,65","29,87782","13,63837"
"13,66","30,95468","13,64827","13,66","27,71457","13,6479","13,66","29,90087","13,64857"
"13,67","30,94832","13,6585","13,67","27,72729","13,65793","13,67","29,93186","13,65877"
"13,68","30,95945","13,66873","13,68","27,73921","13,66817","13,68","29,9565","13,66867"
"13,69","30,99521","13,67877","13,69","27,75828","13,67843","13,69","29,97001","13,6784"
"13,7","31,03177","13,6885","13,7","27,78133","13,6886","13,7","29,97875","13,68817"
"13,71","31,05005","13,69833","13,71","27,8012","13,6988","13,71","29,99465","13,69807"
"13,72","31,05164","13,70823","13,72","27,8155","13,7087","13,72","30,0169","13,7082"
"13,73","31,05799","13,71817","13,73","27,82663","13,7184","13,73","30,03915","13,7185"
"13,74","31,08343","13,72813","13,74","27,83934","13,72803","13,74","30,05981","13,72863"
"13,75","31,12157","13,73837","13,75","27,85285","13,73797","13,75","30,07491","13,73867"
"13,76","31,15098","13,74863","13,76","27,86239","13,7481","13,76","30,08445","13,74867"
"13,77","31,15892","13,7587","13,77","27,87113","13,7584","13,77","30,09796","13,7584"
"13,78","31,15734","13,7686","13,78","27,88067","13,76863","13,78","30,1226","13,7681"
"13,79","31,16846","13,77843","13,79","27,891","13,77877","13,79","30,14882","13,77793"
"13,8","31,19946","13,7883","13,8","27,90054","13,78873","13,8","30,16472","13,78797"
"13,81","31,23522","13,7982","13,81","27,91564","13,79843","13,81","30,17664","13,79823"
"13,82","31,26065","13,80813","13,82","27,9363","13,80823","13,82","30,19492","13,80853"
"13,83","31,27178","13,81827","13,83","27,96253","13,8181","13,83","30,21399","13,8187"
"13,84","31,27813","13,8285","13,84","27,98319","13,8281","13,84","30,22591","13,8288"
"13,85","31,29244","13,83857","13,85","27,99273","13,83837","13,85","30,23466","13,83867"
"13,86","31,31469","13,84857","13,86","28,00306","13,8485","13,86","30,24578","13,84827"
"13,87","31,33456","13,85843","13,87","28,01975","13,85853","13,87","30,26167","13,85793"
"13,88","31,34171","13,86837","13,88","28,04359","13,86867","13,88","30,28154","13,8679"
"13,89","31,3433","13,87823","13,89","28,06187","13,8786","13,89","30,30141","13,8781"
"13,9","31,35204","13,8882","13,9","28,07538","13,88827","13,9","30,31969","13,8884"
"13,91","31,3735","13,89827","13,91","28,0865","13,898","13,91","30,334","13,89857"
"13,92","31,40211","13,90853","13,92","28,10001","13,908","13,92","30,34512","13,90873"
"13,93","31,42436","13,9187","13,93","28,11988","13,91817","13,93","30,35784","13,9187"
"13,94","31,43629","13,9286","13,94","28,14452","13,92843","13,94","30,37771","13,92843"
"13,95","31,449","13,93833","13,95","28,16677","13,93863","13,95","30,40552","13,93817"
"13,96","31,46966","13,94817","13,96","28,18028","13,9488","13,96","30,43016","13,948"
"13,97","31,49827","13,95807","13,97","28,19141","13,95873","13,97","30,44128","13,95807"
"13,98","31,52291","13,96807","13,98","28,20969","13,96843","13,98","30,454","13,96833"
"13,99","31,53642","13,97813","13,99","28,23035","13,978","13,99","30,47546","13,97847"
"14","31,54278","13,98833","14","28,24386","13,98787","14","30,50407","13,98857"
"14,01","31,5547","13,99857","14,01","28,25022","13,99803","14,01","30,52235","13,9986"
"14,02","31,57934","14,0086","14,02","28,25896","14,0084","14,02","30,52711","14,00843"
"14,03","31,60874","14,01853","14,03","28,27485","14,01857","14,03","30,53268","14,0182"
"14,04","31,62861","14,02837","14,04","28,29711","14,02873","14,04","30,5446","14,02797"
"14,05","31,63576","14,03827","14,05","28,3138","14,03863","14,05","30,56526","14,03797"
"14,06","31,64053","14,0482","14,06","28,32254","14,04837","14,06","30,59149","14,04823"
"14,07","31,65722","14,0581","14,07","28,32174","14,05807","14,07","30,61453","14,05847"
"14,08","31,68662","14,0682","14,08","28,32254","14,0679","14,08","30,63361","14,06857"
"14,09","31,71682","14,07853","14,09","28,33366","14,07797","14,09","30,6503","14,07863"
"14,1","31,73351","14,0887","14,1","28,36307","14,0882","14,1","30,67255","14,08857"
"14,11","31,73828","14,0986","14,11","28,40042","14,09843","14,11","30,70116","14,0983"
"14,12","31,74702","14,10837","14,12","28,42983","14,1086","14,12","30,71944","14,108"
"14,13","31,7661","14,11813","14,13","28,44334","14,11867","14,13","30,71944","14,11797"
"14,14","31,79232","14,12803","14,14","28,45208","14,1285","14,14","30,71308","14,1282"
"14,15","31,81537","14,1381","14,15","28,464","14,13817","14,15","30,72421","14,13843"
"14,16","31,83126","14,14823","14,16","28,47672","14,14793","14,16","30,75361","14,14857"
"14,17","31,84239","14,15847","14,17","28,48228","14,15793","14,17","30,78222","14,1587"
"14,18","31,86146","14,16863","14,18","28,48387","14,16817","14,18","30,79573","14,16863"
"14,19","31,8869","14,17857","14,19","28,48864","14,17843","14,19","30,80527","14,17827"
"14,2","31,91312","14,18833","14,2","28,50691","14,18857","14,2","30,82355","14,18803"
"14,21","31,92981","14,1982","14,21","28,53394","14,1987","14,21","30,84978","14,19797"
"14,22","31,93855","14,20817","14,22","28,55778","14,20867","14,22","30,87282","14,20807"
"14,23","31,94809","14,21817","14,23","28,57367","14,21837","14,23","30,88792","14,21837"
"14,24","31,96955","14,2282","14,24","28,58639","14,22807","14,24","30,89666","14,2285"
"14,25","31,99895","14,23837","14,25","28,59672","14,23797","14,25","30,90779","14,23863"
"14,26","32,02438","14,24857","14,26","28,60705","14,24807","14,26","30,92845","14,24867"
"14,27","32,04107","14,2586","14,27","28,62374","14,2583","14,27","30,95547","14,25847"
"14,28","32,05061","14,26857","14,28","28,64758","14,26847","14,28","30,97773","14,2682"
"14,29","32,06174","14,27843","14,29","28,66983","14,27867","14,29","30,98647","14,27803"
"14,3","32,07763","14,28833","14,3","28,68334","14,28867","14,3","30,98647","14,28807"
"14,31","32,09591","14,29827","14,31","28,69288","14,29843","14,31","30,996","14,29833"
"14,32","32,1118","14,30817","14,32","28,70401","14,3082","14,32","31,01746","14,3086"
"14,33","32,12531","14,31833","14,33","28,7199","14,31807","14,33","31,04051","14,31877"
"14,34","32,13644","14,32853","14,34","28,7358","14,32813","14,34","31,05402","14,32887"
"14,35","32,15551","14,33867","14,35","28,74931","14,33837","14,35","31,05879","14,33867"
"14,36","32,18492","14,3486","14,36","28,76043","14,34853","14,36","31,06594","14,34837"
"14,37","32,21432","14,35843","14,37","28,77633","14,35867","14,37","31,08581","14,3581"
"14,38","32,22863","14,36823","14,38","28,79778","14,36873","14,38","31,11521","14,36803"
"14,39","32,23022","14,3782","14,39","28,82322","14,3786","14,39","31,14382","14,37813"
"14,4","32,23896","14,38817","14,4","28,84785","14,38823","14,4","31,1621","14,38833"
"14,41","32,26201","14,39823","14,41","28,86295","14,39797","14,41","31,17243","14,39843"
"14,42","32,28903","14,4085","14,42","28,86613","14,40797","14,42","31,18356","14,4086"
"14,43","32,3089","14,41867","14,43","28,87011","14,4182","14,43","31,2074","14,4186"
"14,44","32,31764","14,42857","14,44","28,88362","14,42853","14,44","31,2376","14,42833"
"14,45","32,32479","14,43833","14,45","28,90825","14,43873","14,45","31,25826","14,43813"
"14,46","32,34069","14,4482","14,46","28,93209","14,44883","14,46","31,26065","14,44803"
"14,47","32,36691","14,45817","14,47","28,94163","14,4587","14,47","31,2535","14,45813"
"14,48","32,39473","14,4682","14,48","28,9464","14,46833","14,48","31,25668","14,46843"
"14,49","32,41618","14,47813","14,49","28,95514","14,478","14,49","31,27813","14,47863"
"14,5","32,4297","14,4884","14,5","28,97263","14,48783","14,5","31,30992","14,4887"
"14,51","32,44956","14,49863","14,51","28,9909","14,49797","14,51","31,33456","14,4987"
"14,52","32,47738","14,50867","14,52","29,00839","14,50827","14,52","31,34966","14,50847"
"14,53","32,50599","14,51863","14,53","29,02508","14,51857","14,53","31,36317","14,51817"
"14,54","32,52586","14,52847","14,54","29,04574","14,5287","14,54","31,38224","14,52797"
"14,55","32,53142","14,53833","14,55","29,06958","14,53873","14,55","31,40608","14,53803"
"14,56","32,53619","14,54827","14,56","29,08945","14,54853","14,56","31,42595","14,54823"
"14,57","32,55606","14,55813","14,57","29,0966","14,55823","14,57","31,43787","14,5585"
"14,58","32,58784","14,56823","14,58","29,10058","14,56807","14,58","31,44503","14,56863"
"14,59","32,61248","14,57847","14,59","29,1117","14,57807","14,59","31,45377","14,57877"
"14,6","32,61884","14,58853","14,6","29,13634","14,5883","14,6","31,47205","14,58857"
"14,61","32,61805","14,59843","14,61","29,16574","14,59847","14,61","31,49351","14,59823"
"14,62","32,62599","14,6083","14,62","29,18641","14,60857","14,62","31,5094","14,6079"
"14,63","32,65063","14,61817","14,63","29,19118","14,61867","14,63","31,51814","14,61787"
"14,64","32,67924","14,62813","14,64","29,18482","14,62853","14,64","31,53165","14,62807"
"14,65","32,70149","14,63813","14,65","29,18641","14,63823","14,65","31,55708","14,6384"
"14,66","32,71103","14,6482","14,66","29,20866","14,648","14,66","31,58649","14,64857"
"14,67","32,7158","14,65847","14,67","29,24442","14,65797","14,67","31,60556","14,6587"
"14,68","32,7309","14,66863","14,68","29,27144","14,66813","14,68","31,60636","14,66857"
"14,69","32,75554","14,6786","14,69","29,28734","14,6784","14,69","31,60874","14,6783"
"14,7","32,78176","14,68833","14,7","29,30164","14,68847","14,7","31,62622","14,68807"
"14,71","32,79845","14,69817","14,71","29,31913","14,6986","14,71","31,65086","14,69797"
"14,72","32,81196","14,70817","14,72","29,33661","14,70857","14,72","31,67073","14,70807"
"14,73","32,83183","14,71817","14,73","29,34774","14,71827","14,73","31,68424","14,71833"
"14,74","32,85885","14,72823","14,74","29,35648","14,72797","14,74","31,69537","14,72843"
"14,75","32,87951","14,73847","14,75","29,36602","14,7379","14,75","31,7049","14,73853"
"14,76","32,89064","14,74863","14,76","29,37794","14,74807","14,76","31,72239","14,74853"
"14,77","32,90097","14,75863","14,77","29,39542","14,75837","14,77","31,74782","14,7584"
"14,78","32,91925","14,7685","14,78","29,41926","14,76857","14,78","31,77881","14,76817"
"14,79","32,93991","14,7784","14,79","29,43834","14,77863","14,79","31,80345","14,778"
"14,8","32,95342","14,78823","14,8","29,44708","14,7887","14,8","31,81696","14,78803"
"14,81","32,96137","14,79817","14,81","29,45185","14,7985","14,81","31,82332","14,7983"
"14,82","32,97091","14,80803","14,82","29,46774","14,80823","14,82","31,83524","14,80857"
"14,83","32,99077","14,8182","14,83","29,49556","14,81807","14,83","31,8559","14,8187"
"14,84","33,01859","14,82843","14,84","29,52019","14,8281","14,84","31,87498","14,82877"
"14,85","33,04561","14,83853","14,85","29,53053","14,83837","14,85","31,88848","14,83863"
"14,86","33,06468","14,84853","14,86","29,5345","14,8486","14,86","31,89961","14,84827"
"14,87","33,0766","14,85843","14,87","29,5496","14,85863","14,87","31,91392","14,85797"
"14,88","33,08773","14,86823","14,88","29,57424","14,8687","14,88","31,93458","14,86797"
"14,89","33,10601","14,8782","14,89","29,59728","14,8786","14,89","31,95604","14,8782"
"14,9","33,13224","14,88823","14,9","29,61238","14,88827","14,9","31,9767","14,88843"
"14,91","33,15687","14,8983","14,91","29,61794","14,89797","14,91","31,99736","14,89857"
"14,92","33,17118","14,90857","14,92","29,62192","14,90793","14,92","32,01723","14,9087"
"14,93","33,17754","14,9187","14,93","29,63384","14,91807","14,93","32,03551","14,91863"
"14,94","33,18707","14,92867","14,94","29,65848","14,9284","14,94","32,05458","14,92837"
"14,95","33,20694","14,93847","14,95","29,6847","14,93867","14,95","32,07286","14,93813"
"14,96","33,22919","14,94833","14,96","29,70298","14,94883","14,96","32,08876","14,948"
"14,97","33,24668","14,95823","14,97","29,71411","14,9588","14,97","32,10068","14,9581"
"14,98","33,26098","14,9682","14,98","29,72364","14,9685","14,98","32,11419","14,9684"
"14,99","33,27449","14,97823","14,99","29,73874","14,9781","14,99","32,13088","14,97857"
"15","33,29039","14,98847","15","29,75464","14,98793","15","32,14439","14,9887"
"15,01","33,31025","14,99857","15,01","29,76735","14,99807","15,01","32,15392","14,9987"
"15,02","33,33251","15,00857","15,02","29,77451","15,0084","15,02","32,16743","15,00847"
"15,03","33,35238","15,01847","15,03","29,78802","15,01857","15,03","32,1873","15,01807"
"15,04","33,36668","15,02833","15,04","29,81106","15,0287","15,04","32,20717","15,0278"
"15,05","33,38178","15,03827","15,05","29,8357","15,0387","15,05","32,22148","15,03783"
"15,06","33,40006","15,0482","15,06","29,85159","15,04847","15,06","32,23658","15,04817"
"15,07","33,42152","15,0582","15,07","29,85716","15,0582","15,07","32,25327","15,05853"
"15,08","33,44218","15,06827","15,08","29,86034","15,06803","15,08","32,27234","15,06873"
"15,09","33,45649","15,07847","15,09","29,86908","15,0781","15,09","32,28585","15,07883"
"15,1","33,47556","15,0886","15,1","29,89133","15,08833","15,1","32,30016","15,08873"
"15,11","33,50496","15,09853","15,11","29,91994","15,09847","15,11","32,31525","15,09847"
"15,12","33,53834","15,10833","15,12","29,94219","15,10857","15,12","32,33115","15,10807"
"15,13","33,5598","15,1182","15,13","29,95253","15,1186","15,13","32,34466","15,11793"
"15,14","33,56616","15,12817","15,14","29,95888","15,12847","15,14","32,35976","15,12807"
"15,15","33,56536","15,13823","15,15","29,9716","15,13817","15,15","32,37645","15,13837"
"15,16","33,57251","15,1483","15,16","29,98988","15,14797","15,16","32,3987","15,14857"
"15,17","33,59795","15,15857","15,17","30,00736","15,15793","15,17","32,41857","15,1587"
"15,18","33,63371","15,1687","15,18","30,01769","15,16813","15,18","32,4297","15,1687"
"15,19","33,66232","15,17867","15,19","30,02802","15,1785","15,19","32,43446","15,17843"
"15,2","33,67186","15,18843","15,2","30,04233","15,18863","15,2","32,44162","15,18817"
"15,21","33,67106","15,19823","15,21","30,06379","15,19877","15,21","32,45433","15,19803"
"15,22","33,67583","15,20813","15,22","30,08604","15,20873","15,22","32,4734","15,20813"
"15,23","33,69888","15,21807","15,23","30,10193","15,2184","15,23","32,49486","15,21833"
"15,24","33,73146","15,22807","15,24","30,11147","15,22803","15,24","32,51553","15,22843"
"15,25","33,75053","15,23827","15,25","30,12021","15,23783","15,25","32,53619","15,23853"
"15,26","33,75451","15,2485","15,26","30,13372","15,24797","15,26","32,55844","15,24857"
"15,27","33,75928","15,25857","15,27","30,152","15,25833","15,27","32,57831","15,25837"
"15,28","33,78312","15,26853","15,28","30,16551","15,26853","15,28","32,59182","15,2681"
"15,29","33,81729","15,2784","15,29","30,17426","15,27867","15,29","32,60136","15,27797"
"15,3","33,84034","15,28823","15,3","30,18379","15,28863","15,3","32,61566","15,28803"
"15,31","33,8459","15,29813","15,31","30,20525","15,29843","15,31","32,63474","15,29827"
"15,32","33,8459","15,30807","15,32","30,22989","15,30813","15,32","32,65937","15,3086"
"15,33","33,86021","15,31813","15,33","30,24658","15,31793","15,33","32,68083","15,3187"
"15,34","33,8912","15,32837","15,34","30,25452","15,32793","15,34","32,69513","15,32873"
"15,35","33,92299","15,33853","15,35","30,25929","15,3382","15,35","32,70388","15,33867"
"15,36","33,93888","15,34853","15,36","30,2736","15,34847","15,36","32,715","15,34823"
"15,37","33,94286","15,3584","15,37","30,30141","15,35857","15,37","32,72931","15,35783"
"15,38","33,95478","15,36823","15,38","30,32843","15,36863","15,38","32,74441","15,3678"
"15,39","33,98498","15,3782","15,39","30,34433","15,37853","15,39","32,75951","15,37803"
"15,4","34,01915","15,3882","15,4","30,34751","15,38827","15,4","32,7762","15,38843"
"15,41","34,0422","15,3983","15,41","30,35148","15,39803","15,41","32,79765","15,3986"
"15,42","34,04856","15,4085","15,42","30,36419","15,40803","15,42","32,82229","15,40877"
"15,43","34,05492","15,41863","15,43","30,38486","15,41827","15,43","32,84375","15,41867"
"15,44","34,07717","15,42853","15,44","30,40473","15,42847","15,44","32,86044","15,42837"
"15,45","34,11134","15,43833","15,45","30,41665","15,43863","15,45","32,87156","15,43813"
"15,46","34,14075","15,44823","15,46","30,4238","15,44883","15,46","32,87713","15,44803"
"15,47","34,15585","15,45817","15,47","30,43254","15,45873","15,47","32,88348","15,45813"
"15,48","34,16061","15,4682","15,48","30,45082","15,46843","15,48","32,8954","15,46837"
"15,49","34,16936","15,47817","15,49","30,47546","15,47813","15,49","32,91209","15,47853"
"15,5","34,19161","15,4884","15,5","30,49533","15,48793","15,5","32,9264","15,48863"
"15,51","34,21943","15,49863","15,51","30,50168","15,49807","15,51","32,93991","15,4987"
"15,52","34,2377","15,5087","15,52","30,50804","15,50833","15,52","32,96137","15,5085"
"15,53","34,24327","15,51863","15,53","30,52473","15,51853","15,53","32,98839","15,51823"
"15,54","34,24644","15,5285","15,54","30,55096","15,5287","15,54","33,01303","15,52813"
"15,55","34,26154","15,53833","15,55","30,57162","15,5387","15,55","33,02892","15,53813"
"15,56","34,28618","15,54827","15,56","30,58513","15,54843","15,56","33,04005","15,54837"
"15,57","34,31082","15,5582","15,57","30,59546","15,55813","15,57","33,05117","15,55863"
"15,58","34,3291","15,56833","15,58","30,60977","15,56797","15,58","33,0615","15,56877"
"15,59","34,3442","15,57857","15,59","30,63202","15,578","15,59","33,07183","15,5788"
"15,6","34,36009","15,58867","15,6","30,65507","15,58833","15,6","33,08296","15,58873"
"15,61","34,38075","15,5986","15,61","30,67652","15,59853","15,61","33,09727","15,5984"
"15,62","34,40698","15,60843","15,62","30,69083","15,60863","15,62","33,11316","15,60803"
"15,63","34,43003","15,61827","15,63","30,70116","15,61867","15,63","33,12826","15,61793"
"15,64","34,44354","15,6282","15,64","30,70672","15,62857","15,64","33,14416","15,62813"
"15,65","34,45308","15,63823","15,65","30,71467","15,63827","15,65","33,16402","15,6384"
"15,66","34,47215","15,64827","15,66","30,7258","15,64797","15,66","33,18389","15,64853"
"15,67","34,50155","15,65843","15,67","30,73533","15,65797","15,67","33,1982","15,65863"
"15,68","34,52937","15,6686","15,68","30,74805","15,6682","15,68","33,21091","15,66857"
"15,69","34,54208","15,67863","15,69","30,76394","15,67847","15,69","33,22522","15,6783"
"15,7","34,54288","15,6884","15,7","30,78699","15,68863","15,7","33,24668","15,68803"
"15,71","34,54924","15,6982","15,71","30,80924","15,69873","15,71","33,26972","15,69793"
"15,72","34,57149","15,70813","15,72","30,82355","15,70867","15,72","33,28959","15,7081"
"15,73","34,60248","15,71813","15,73","30,82911","15,71837","15,73","33,3039","15,7184"
"15,74","34,62712","15,72817","15,74","30,8315","15,728","15,74","33,319","15,72857"
"15,75","34,63904","15,73833","15,75","30,83785","15,73787","15,75","33,3341","15,7387"
"15,76","34,6454","15,74853","15,76","30,85375","15,74803","15,76","33,34602","15,74873"
"15,77","34,65652","15,75853","15,77","30,87441","15,75833","15,77","33,35078","15,75847"
"15,78","34,67719","15,76847","15,78","30,89428","15,7685","15,78","33,35953","15,76813"
"15,79","34,70103","15,7783","15,79","30,91097","15,77863","15,79","33,37542","15,77793"
"15,8","34,70898","15,78823","15,8","30,92845","15,7886","15,8","33,39767","15,78797"
"15,81","34,71057","15,79827","15,81","30,94673","15,79833","15,81","33,42152","15,79827"
"15,82","34,71931","15,8082","15,82","30,95945","15,80817","15,82","33,44456","15,80857"
"15,83","34,74395","15,81823","15,83","30,9666","15,81803","15,83","33,46443","15,81867"
"15,84","34,77732","15,82843","15,84","30,97296","15,8281","15,84","33,48112","15,82877"
"15,85","34,79878","15,83847","15,85","30,98726","15,83837","15,85","33,4986","15,83863"
"15,86","34,80911","15,84843","15,86","31,01349","15,8486","15,86","33,5145","15,84827"
"15,87","34,82103","15,8583","15,87","31,04448","15,85863","15,87","33,52483","15,8579"
"15,88","34,84249","15,86817","15,88","31,0715","15,86867","15,88","33,5296","15,86783"
"15,89","34,86792","15,8782","15,89","31,08581","15,87853","15,89","33,53834","15,87803"
"15,9","34,88858","15,8882","15,9","31,0874","15,88823","15,9","33,5598","15,88827"
"15,91","34,90369","15,8982","15,91","31,08263","15,89793","15,91","33,59795","15,89843"
"15,92","34,91561","15,9084","15,92","31,0874","15,9079","15,92","33,63053","15,9086"
"15,93","34,93071","15,91863","15,93","31,10329","15,9181","15,93","33,63768","15,91853"
"15,94","34,95296","15,9286","15,94","31,12555","15,9284","15,94","33,62894","15,92827"
"15,95","34,97601","15,9384","15,95","31,14382","15,9386","15,95","33,62815","15,9381"
"15,96","34,99349","15,9482","15,96","31,15495","15,9487","15,96","33,64245","15,94807"
"15,97","35,00462","15,9582","15,97","31,16608","15,9586","15,97","33,65993","15,9582"
"15,98","35,01892","15,96823","15,98","31,18197","15,96837","15,98","33,67345","15,96843"
"15,99","35,04117","15,97813","15,99","31,20025","15,97803","15,99","33,68537","15,9785"
"16","35,0682","15,98833","16","31,21376","15,98783","16","33,70047","15,98863"
"16,01","35,09204","15,99857","16,01","31,2225","15,99797","16,01","33,72033","15,99873"
"16,02","35,10555","16,0086","16,02","31,2376","16,0083","16,02","33,741","16,00853"
"16,03","35,11429","16,01853","16,03","31,26542","16,01857","16,03","33,76086","16,0182"
"16,04","35,12383","16,0284","16,04","31,29244","16,02873","16,04","33,77438","16,02797"
"16,05","35,14211","16,0383","16,05","31,30356","16,03873","16,05","33,7863","16,038"
