1 _ 1			1 _ 3			1 _ 2			1 _ 4			1 _ 5			1 _ 6			1 _ 7			1 _ 8			1 _ 9			1 _ 10			1 _ 11			1 _ 12			1 _ 13			1 _ 14			1 _ 15		
Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход
сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм
0.12	2.423127	0.001833333	0.12	12.25471	0.0019	0.12	7.812977	0.0114	0.12	8.512338	0.0018	0.12	8.126895	0.01136667	0.12	7.419586	0.0018	0.12	7.075469	0.001733333	0.12	7.087389	0.001733333	0.12	7.02858	0.0017	0.12	7.044474	0.001666667	0.12	7.745425	0.0017	0.12	8.014838	0.01136667	0.12	9.735425	0.005733334	0.12	9.412766	0.001766667	0.12	6.849766	0.0055
0.13	2.45889	0.002033333	0.13	12.45817	0.0021	0.13	7.930597	0.01246667	0.13	8.548896	0.002033333	0.13	8.191268	0.01246667	0.13	7.473628	0.002	0.13	7.109642	0.001966667	0.13	7.11441	0.001966667	0.13	7.061958	0.001933333	0.13	7.061958	0.001933333	0.13	7.771651	0.001933333	0.13	8.169015	0.01243333	0.13	9.770393	0.006266667	0.13	9.504159	0.001966667	0.13	6.860097	0.006033333
0.14	2.474785	0.0022	0.14	12.60042	0.002266667	0.14	8.014043	0.01353333	0.14	8.575916	0.002233333	0.14	8.227031	0.0135	0.14	7.522106	0.0022	0.14	7.140636	0.002166667	0.14	7.140636	0.002166667	0.14	7.094542	0.002166667	0.14	7.083416	0.002166667	0.14	7.801056	0.002133333	0.14	8.294582	0.01346667	0.14	9.802978	0.006766667	0.14	9.612243	0.002166667	0.14	6.887118	0.006533334
0.15	2.478759	0.002366667	0.15	12.67036	0.002433333	0.15	8.072059	0.01453333	0.15	8.587043	0.0024	0.15	8.256435	0.01456667	0.15	7.547537	0.0024	0.15	7.15971	0.002366667	0.15	7.162889	0.002366667	0.15	7.116795	0.002366667	0.15	7.102489	0.002366667	0.15	7.823308	0.002333333	0.15	8.397897	0.01453333	0.15	9.830792	0.007266667	0.15	9.710789	0.002366667	0.15	6.927649	0.0071
0.16	2.478759	0.002533333	0.16	12.6942	0.002633333	0.16	8.119742	0.0156	0.16	8.587043	0.002566667	0.16	8.301735	0.01556667	0.16	7.55628	0.002566667	0.16	7.165273	0.002566667	0.16	7.17322	0.002566667	0.16	7.124742	0.002566667	0.16	7.108053	0.002566667	0.16	7.834435	0.002533333	0.16	8.476575	0.01556667	0.16	9.85543	0.007833334	0.16	9.768009	0.002533333	0.16	6.976923	0.007633334
0.17	2.481143	0.0027	0.17	12.70135	0.002766667	0.17	8.161862	0.01663333	0.17	8.584659	0.002733333	0.17	8.370876	0.0166	0.17	7.558664	0.0027	0.17	7.15971	0.002733333	0.17	7.179578	0.0027	0.17	7.123152	0.002733333	0.17	7.109642	0.002733333	0.17	7.836819	0.0027	0.17	8.534591	0.0166	0.17	9.871324	0.008366667	0.17	9.787083	0.002733333	0.17	7.037322	0.008166667
0.18	2.485911	0.002866667	0.18	12.70612	0.002933333	0.18	8.198421	0.01766667	0.18	8.583863	0.002966667	0.18	8.454323	0.01763333	0.18	7.561048	0.0029	0.18	7.158915	0.0029	0.18	7.185936	0.0029	0.18	7.118384	0.0029	0.18	7.11441	0.0029	0.18	7.841587	0.002933333	0.18	8.572738	0.01763333	0.18	9.880066	0.008866667	0.18	9.791851	0.002933333	0.18	7.102489	0.0087
0.19	2.492269	0.003033333	0.19	12.7085	0.003066667	0.19	8.232594	0.0187	0.19	8.584659	0.0031	0.19	8.534591	0.01866667	0.19	7.565022	0.003066667	0.19	7.165273	0.003066667	0.19	7.190704	0.003066667	0.19	7.113616	0.003066667	0.19	7.121563	0.003066667	0.19	7.846355	0.0031	0.19	8.602142	0.01866667	0.19	9.888808	0.009333333	0.19	9.79503	0.003066667	0.19	7.163683	0.009166666
0.2	2.496243	0.0032	0.2	12.71009	0.003233333	0.2	8.270741	0.0197	0.2	8.586247	0.003233333	0.2	8.600553	0.01966667	0.2	7.565816	0.003233333	0.2	7.172426	0.003233333	0.2	7.190704	0.0032	0.2	7.113616	0.0032	0.2	7.125536	0.0032	0.2	7.847945	0.003233333	0.2	8.629163	0.01966667	0.2	9.898345	0.009866667	0.2	9.796619	0.003266667	0.2	7.221699	0.0097
0.21	2.496243	0.003366667	0.21	12.7085	0.003433333	0.21	8.327961	0.0207	0.21	8.587043	0.0034	0.21	8.656979	0.02066667	0.21	7.568201	0.003433333	0.21	7.176399	0.0034	0.21	7.185936	0.003366667	0.21	7.121563	0.003366667	0.21	7.121563	0.003366667	0.21	7.843971	0.0034	0.21	8.656184	0.02066667	0.21	9.91106	0.01036667	0.21	9.792645	0.003433333	0.21	7.276535	0.01023333
0.22	2.497037	0.003533333	0.22	12.7085	0.003566667	0.22	8.404255	0.0217	0.22	8.583863	0.003533333	0.22	8.705457	0.02166667	0.22	7.56979	0.0036	0.22	7.170836	0.003566667	0.22	7.178783	0.003566667	0.22	7.132689	0.003566667	0.22	7.112026	0.003566667	0.22	7.837614	0.003566667	0.22	8.678436	0.0217	0.22	9.929339	0.01086667	0.22	9.790261	0.0036	0.22	7.329782	0.01076667
